"name","longitude","latitude","prov","date","key"
"Helianthus agrestis",-80.997262,28.56967,"gbif",2019-10-11,"2429487347"
"Helianthus agrestis",-81.517289,26.427672,"gbif",2019-10-13,"2429574192"
"Helianthus agrestis",-81.787947,26.480325,"gbif",2019-10-17,"2429627276"
"Helianthus agrestis",-81.604108,26.375611,"gbif",2019-10-09,"2447845745"
"Helianthus agrestis",-82.024405,26.85037,"gbif",2019-10-18,"2460108334"
"Helianthus agrestis",-80.7144,27.4497,"gbif",2015-10-10,"1563894250"
"Helianthus agrestis",-80.8558,28.3661,"gbif",2013-10-05,"1503272397"
"Helianthus agrestis",-80.8889,28.4925,"gbif",2012-09-01,"1503271756"
"Helianthus agrestis",-81.4425,26.9975,"gbif",2011-11-11,"1503265571"
"Helianthus agrestis",-82.3278,27.1175,"gbif",2007-08-23,"1503252996"
"Helianthus agrestis",-81.67,26.33,"gbif",1985-10-11,"1096644586"
"Helianthus agrestis",-80.815845,28.611571,"gbif",NA,"1304886768"
"Helianthus agrestis",-80.849762,28.589345,"gbif",NA,"1304886793"
"Helianthus agrestis",-82.75,28.133333,"gbif",NA,"1305001440"
"Helianthus agrestis",-81.216667,28.783333,"gbif",NA,"1305001465"
"Helianthus agrestis",-80.8,28.6,"gbif",NA,"1305001474"
"Helianthus agrestis",-80.8,28.6,"gbif",NA,"1305001502"
"Helianthus agrestis",-82.566667,27.483333,"gbif",NA,"1305001508"
"Helianthus agrestis",-83.174594,34.20983,"gbif",NA,"1849102442"
"Helianthus agrestis",-82.73952,27.903122,"bison",NA,"2070048795"
"Helianthus agrestis",-82.36578,27.481386,"bison",NA,"2070152504"
"Helianthus agrestis",-82.16729,29.952387,"bison",NA,"2063474747"
"Helianthus agrestis",-80.44337,27.380775,"bison",NA,"2070798183"
"Helianthus agrestis",-81.69278,27.953115,"bison",NA,"2070347298"
"Helianthus agrestis",-81.152115,26.539967,"bison",NA,"2070510897"
"Helianthus agrestis",-81.13198,28.690079,"bison",NA,"2070515020"
"Helianthus agrestis",-81.323296,28.514435,"bison",NA,"2070463295"
"Helianthus agrestis",-81.19082,26.954811,"bison",NA,"2070496257"
"Helianthus agrestis",-80.88739,27.385592,"bison",NA,"2070648350"
"Helianthus agrestis",NA,NA,"bison",NA,"1302615775"
"Helianthus agrestis",NA,NA,"bison",1959-01-01,"1456334767"
"Helianthus agrestis",NA,NA,"bison",NA,"1456446735"
"Helianthus agrestis",NA,NA,"bison",1900-08-13,"1456461663"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"1304213674"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"1304213717"
"Helianthus agrestis",NA,NA,"bison",NA,"40888022"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"1097969835"
"Helianthus agrestis",NA,NA,"bison",1889-01-01,"1456039366"
"Helianthus agrestis",NA,NA,"bison",1949-04-24,"1456065449"
"Helianthus agrestis",NA,NA,"bison",1948-08-21,"1456264874"
"Helianthus agrestis",NA,NA,"bison",1949-10-15,"1456299405"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"1304613168"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"575036271"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"727417728"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"727428219"
"Helianthus agrestis",NA,NA,"bison",1919-12-17,"1456250538"
"Helianthus agrestis",NA,NA,"bison",1975-10-25,"1503175867"
"Helianthus agrestis",NA,NA,"bison",1978-10-04,"1503186750"
"Helianthus agrestis",NA,NA,"bison",1979-10-14,"1503193594"
"Helianthus agrestis",NA,NA,"bison",1980-10-25,"1503194004"
"Helianthus agrestis",NA,NA,"bison",1979-10-06,"1503195683"
"Helianthus agrestis",NA,NA,"bison",1985-09-26,"1503216251"
"Helianthus agrestis",NA,NA,"bison",2000-09-11,"1503238357"
"Helianthus agrestis",NA,NA,"bison",2002-10-04,"1503250305"
"Helianthus agrestis",NA,NA,"bison",1978-10-04,"1503258797"
"Helianthus agrestis",NA,NA,"bison",2009-11-23,"1503259108"
"Helianthus agrestis",NA,NA,"bison",2009-10-15,"1503265417"
"Helianthus agrestis",NA,NA,"bison",1961-09-29,"1503289054"
"Helianthus agrestis",NA,NA,"bison",1957-08-22,"1503290716"
"Helianthus agrestis",NA,NA,"bison",1962-10-08,"1503293880"
"Helianthus agrestis",NA,NA,"bison",1959-01-01,"1503298480"
"Helianthus agrestis",NA,NA,"bison",1964-10-24,"1503299240"
"Helianthus agrestis",NA,NA,"bison",1964-09-26,"1503300799"
"Helianthus agrestis",NA,NA,"bison",1969-10-11,"1503311745"
"Helianthus agrestis",NA,NA,"bison",1969-11-01,"1503312259"
"Helianthus agrestis",NA,NA,"bison",1976-10-16,"1503178901"
"Helianthus agrestis",NA,NA,"bison",NA,"1302440384"
"Helianthus agrestis",NA,NA,"bison",NA,"1305001427"
"Helianthus agrestis",NA,NA,"bison",NA,"1305001462"
"Helianthus agrestis",NA,NA,"bison",NA,"1305001487"
"Helianthus agrestis",NA,NA,"bison",NA,"1305001495"
"Helianthus agrestis",NA,NA,"bison",NA,"1305001509"
"Helianthus agrestis",NA,NA,"bison",1900-07-12,"925152000"
"Helianthus agrestis",NA,NA,"bison",1972-10-12,"1503169901"
"Helianthus agrestis",NA,NA,"bison",1962-10-08,"1138768878"
"Helianthus agrestis",NA,NA,"bison",NA,"40886943"
"Helianthus agrestis",NA,NA,"bison",NA,"40888047"
"Helianthus agrestis",NA,NA,"bison",NA,"40888041"
"Helianthus agrestis",NA,NA,"bison",NA,"40888043"
"Helianthus agrestis",NA,NA,"bison",NA,"121135751"
"Helianthus agrestis",-81.892456,26.551527,"bison",NA,"2070295746"
"Helianthus agrestis",-80.700386,28.298275,"bison",1963-09-29,"1302624235"
"Helianthus agrestis",-81.4425,26.9975,"bison",2011-11-11,"1503265571"
"Helianthus agrestis",-80.8889,28.4925,"bison",2012-09-01,"1503271756"
"Helianthus agrestis",-80.8558,28.3661,"bison",2013-10-05,"1503272397"
"Helianthus agrestis",-82.3278,27.1175,"bison",2007-08-23,"1503252996"
"Helianthus agrestis",-83.17459,34.20983,"bison",NA,"1849102442"
