"name","longitude","latitude","prov","date","key"
"Helianthus carnosus",-81.432114,29.634039,"gbif",2018-07-24,"2242757409"
"Helianthus carnosus",-81.669044,29.9585,"gbif",2017-08-06,"2242747864"
"Helianthus carnosus",-81.58,27.93,"gbif",2016-11-22,"2305537258"
"Helianthus carnosus",-81.471558,29.609651,"gbif",2011-06-29,"1305093528"
"Helianthus carnosus",-81.31022,29.32,"gbif",2011-01-01,"1305093507"
"Helianthus carnosus",-81.265022,29.500656,"gbif",2011-01-01,"1305093520"
"Helianthus carnosus",-81.437146,29.746896,"gbif",2005-09-15,"2626517793"
"Helianthus carnosus",-81.513889,29.528333,"gbif",1993-07-25,"1457772828"
"Helianthus carnosus",-81.513889,29.528333,"gbif",1993-07-25,"1457811589"
"Helianthus carnosus",-81.437586,30.295519,"gbif",1897-07-02,"1930074750"
"Helianthus carnosus",-81.364059,29.320978,"gbif",NA,"1304889772"
"Helianthus carnosus",-81.583333,29.6,"gbif",NA,"1305029609"
"Helianthus carnosus",-81.426111,29.664444,"gbif",NA,"1305029635"
"Helianthus carnosus",-85.016864,30.57575,"gbif",NA,"1927924814"
"Helianthus carnosus",-81.58333,29.6,"gbif",NA,"40896826"
"Helianthus carnosus",-81.42611,29.66444,"gbif",NA,"91595130"
"Helianthus carnosus",-81.28636,29.474894,"bison",NA,"2070469113"
"Helianthus carnosus",-81.38395,29.890654,"bison",NA,"2070446817"
"Helianthus carnosus",NA,NA,"bison",1961-07-26,"1456477617"
"Helianthus carnosus",NA,NA,"bison",1979-08-27,"122953819"
"Helianthus carnosus",-81.28636,29.474894,"bison",2004-08-10,"1274139852"
"Helianthus carnosus",NA,NA,"bison",NA,"1302624409"
"Helianthus carnosus",NA,NA,"bison",1963-06-28,"1302625105"
"Helianthus carnosus",NA,NA,"bison",1971-08-04,"1302625123"
"Helianthus carnosus",NA,NA,"bison",1978-08-12,"1302625157"
"Helianthus carnosus",NA,NA,"bison",1897-07-02,"1097912156"
"Helianthus carnosus",NA,NA,"bison",NA,"1304618136"
"Helianthus carnosus",NA,NA,"bison",1897-07-02,"1304618175"
"Helianthus carnosus",NA,NA,"bison",1992-07-09,"1503239082"
"Helianthus carnosus",NA,NA,"bison",1961-07-26,"1503290484"
"Helianthus carnosus",NA,NA,"bison",1963-06-28,"1503296634"
"Helianthus carnosus",NA,NA,"bison",1979-08-29,"122953820"
"Helianthus carnosus",NA,NA,"bison",NA,"1305029657"
"Helianthus carnosus",NA,NA,"bison",NA,"91595132"
"Helianthus carnosus",NA,NA,"bison",1979-08-27,"122953818"
"Helianthus carnosus",NA,NA,"bison",1979-08-29,"122953821"
"Helianthus carnosus",NA,NA,"bison",1991-10-17,"122954697"
"Helianthus carnosus",NA,NA,"bison",1934-08-22,"122955020"
"Helianthus carnosus",-81.74089,29.606007,"bison",2004-08-18,"1274252558"
"Helianthus carnosus",-81.28636,29.474894,"bison",1961-08-26,"1302624361"
"Helianthus carnosus",-81.28636,29.474894,"bison",1961-08-26,"1302624385"
"Helianthus carnosus",-106.241394,31.766403,"bison",1947-09-15,"1302624427"
"Helianthus carnosus",-81.28636,29.474894,"bison",1961-08-26,"1302624450"
"Helianthus carnosus",-81.28636,29.474894,"bison",1961-08-26,"1302624480"
"Helianthus carnosus",-81.28636,29.474894,"bison",2002-08-07,"1302624508"
"Helianthus carnosus",-81.28636,29.474894,"bison",1961-08-26,"1302624532"
"Helianthus carnosus",-81.28636,29.474894,"bison",1993-07-09,"1274315292"
"Helianthus carnosus",-81.42611,29.66444,"bison",NA,"91595130"
"Helianthus carnosus",-81.38395,29.890654,"bison",1963-06-28,"1457756200"
"Helianthus carnosus",-81.85815,29.987116,"bison",1937-09-08,"1457753155"
"Helianthus carnosus",-81.513885,29.528334,"bison",1993-07-25,"1457772828"
"Helianthus carnosus",-81.16181,29.057617,"bison",1947-08-31,"1457778117"
"Helianthus carnosus",-81.513885,29.528334,"bison",1993-07-25,"1457811589"
"Helianthus carnosus",-81.16181,29.057617,"bison",1938-06-30,"1457813349"
"Helianthus carnosus",-81.74089,29.606007,"bison",1993-07-16,"1457804665"
"Helianthus carnosus",-81.28636,29.474894,"bison",1994-06-30,"1457804662"
"Helianthus carnosus",-82.35722,29.675741,"bison",2011-07-17,"1457807096"
"Helianthus carnosus",-81.38395,29.890654,"bison",1993-07-29,"1457807126"
"Helianthus carnosus",-81.28636,29.474894,"bison",1992-07-09,"1457791704"
"Helianthus carnosus",-81.28636,29.474894,"bison",1961-07-26,"1457780679"
"Helianthus carnosus",-81.28636,29.474894,"bison",1942-06-25,"1457799901"
"Helianthus carnosus",-81.28636,29.474894,"bison",2003-08-03,"1274131686"
"Helianthus carnosus",-81.38395,29.890654,"bison",2004-09-02,"1274134394"
