"name","longitude","latitude","prov","date","key"
"Helianthus ciliaris",-102.116834,31.962895,"gbif",2020-03-25,"2596280046"
"Helianthus ciliaris",-100.964017,25.474285,"gbif",2020-04-03,"2597853039"
"Helianthus ciliaris",-101.892148,35.220953,"gbif",2020-04-26,"2611049668"
"Helianthus ciliaris",-101.924181,33.452013,"gbif",2020-04-24,"2611189982"
"Helianthus ciliaris",-101.837028,33.551596,"gbif",2020-04-25,"2611230655"
"Helianthus ciliaris",-101.689994,34.981682,"gbif",2020-04-25,"2611242015"
"Helianthus ciliaris",-101.977689,33.404303,"gbif",2020-04-26,"2611357940"
"Helianthus ciliaris",-101.88157,33.436328,"gbif",2020-04-29,"2619945661"
"Helianthus ciliaris",-100.530655,31.448687,"gbif",2020-05-20,"2626236999"
"Helianthus ciliaris",-101.805382,33.574516,"gbif",2019-04-14,"2237484241"
"Helianthus ciliaris",-101.662902,35.234782,"gbif",2019-04-26,"2238871646"
"Helianthus ciliaris",-101.667343,35.243282,"gbif",2019-04-26,"2238949947"
"Helianthus ciliaris",-101.662097,35.228747,"gbif",2019-04-26,"2238956068"
"Helianthus ciliaris",-101.69081,34.981993,"gbif",2019-04-26,"2238990533"
"Helianthus ciliaris",-101.976503,33.854655,"gbif",2019-05-21,"2244303224"
"Helianthus ciliaris",-102.118957,31.966348,"gbif",2019-05-24,"2251908485"
"Helianthus ciliaris",-102.615314,33.996656,"gbif",2019-05-27,"2265818391"
"Helianthus ciliaris",-101.801425,33.567783,"gbif",2019-06-10,"2265868028"
"Helianthus ciliaris",-101.890853,33.623377,"gbif",2019-06-11,"2265884637"
"Helianthus ciliaris",-101.888363,35.104992,"gbif",2019-06-12,"2265890155"
"Helianthus ciliaris",-101.889074,33.621298,"gbif",2019-06-13,"2265902604"
"Helianthus ciliaris",-101.826554,33.430604,"gbif",2019-06-07,"2269273794"
"Helianthus ciliaris",-102.113229,34.911752,"gbif",2019-06-24,"2273277680"
"Helianthus ciliaris",-101.951237,33.544468,"gbif",2019-06-01,"2294420385"
"Helianthus ciliaris",-101.955277,33.545247,"gbif",2019-06-01,"2294420424"
"Helianthus ciliaris",-100.862387,35.216169,"gbif",2019-06-23,"2350389527"
"Helianthus ciliaris",-107.859413,35.152633,"gbif",2019-06-24,"2422852353"
"Helianthus ciliaris",-101.905356,35.172436,"gbif",2019-07-03,"2283141117"
"Helianthus ciliaris",-102.180599,34.879934,"gbif",2019-07-25,"2397522680"
"Helianthus ciliaris",-105.696477,33.399931,"gbif",2019-07-19,"2422862863"
"Helianthus ciliaris",-102.116409,31.963029,"gbif",2019-08-09,"2366035113"
"Helianthus ciliaris",-102.780525,33.957613,"gbif",2019-09-02,"2397697445"
"Helianthus ciliaris",-102.860992,34.590134,"gbif",2019-09-09,"2422992007"
"Helianthus ciliaris",-102.649687,34.735321,"gbif",2019-09-10,"2423009944"
"Helianthus ciliaris",-102.406514,34.71676,"gbif",2019-09-11,"2423023489"
"Helianthus ciliaris",-102.701233,34.790137,"gbif",2019-09-11,"2423023785"
"Helianthus ciliaris",-106.670495,35.050422,"gbif",2019-09-14,"2423069160"
"Helianthus ciliaris",-101.751526,35.194237,"gbif",2019-09-28,"2429531848"
"Helianthus ciliaris",-101.92274,33.473085,"gbif",2019-10-06,"2429572303"
"Helianthus ciliaris",-101.961792,33.507859,"gbif",2019-11-10,"2456562995"
"Helianthus ciliaris",-101.802228,33.562544,"gbif",2019-12-24,"2550119621"
"Helianthus ciliaris",-102.123094,31.965833,"gbif",2018-01-14,"1805402457"
"Helianthus ciliaris",-102.123038,31.965791,"gbif",2018-01-23,"1806354726"
"Helianthus ciliaris",-102.004086,33.499667,"gbif",2018-03-17,"1837739059"
"Helianthus ciliaris",-101.99224,33.603635,"gbif",2018-04-14,"1839207821"
"Helianthus ciliaris",-101.310228,35.395088,"gbif",2018-04-29,"1847496342"
"Helianthus ciliaris",-101.825004,33.588075,"gbif",2018-04-21,"1880573493"
"Helianthus ciliaris",-101.889634,33.622005,"gbif",2018-05-05,"1847447494"
"Helianthus ciliaris",-106.712009,32.199381,"gbif",2018-05-05,"1847447952"
"Helianthus ciliaris",-101.834433,33.593576,"gbif",2018-05-15,"1847564164"
"Helianthus ciliaris",-101.9028,33.8393,"gbif",2018-05-25,"1847606287"
"Helianthus ciliaris",-101.9932,33.8506,"gbif",2018-05-25,"1847607740"
"Helianthus ciliaris",-101.889596,33.623027,"gbif",2018-06-09,"1880498933"
"Helianthus ciliaris",-100.871299,35.215583,"gbif",2018-06-09,"1880500184"
"Helianthus ciliaris",-101.809817,35.19469,"gbif",2018-06-19,"1880523059"
"Helianthus ciliaris",-106.71189,32.199181,"gbif",2018-06-20,"1880530985"
"Helianthus ciliaris",-101.822907,33.58834,"gbif",2018-06-20,"1880555893"
"Helianthus ciliaris",-105.183197,35.566975,"gbif",2018-06-23,"1880559116"
"Helianthus ciliaris",-101.808588,33.539285,"gbif",2018-06-29,"1883472688"
"Helianthus ciliaris",-102.027652,33.843401,"gbif",2018-07-05,"1883473791"
"Helianthus ciliaris",-102.028309,33.850699,"gbif",2018-07-05,"1883474310"
"Helianthus ciliaris",-102.037299,33.853807,"gbif",2018-07-05,"1883490906"
"Helianthus ciliaris",-101.992576,33.953098,"gbif",2018-07-05,"1883532701"
"Helianthus ciliaris",-102.117638,31.964526,"gbif",2018-07-15,"1883547035"
"Helianthus ciliaris",-104.385114,32.842353,"gbif",2018-07-17,"1883916831"
"Helianthus ciliaris",-101.936346,33.414599,"gbif",2018-07-08,"1883962336"
"Helianthus ciliaris",-101.957923,33.748071,"gbif",2018-08-12,"1891326440"
"Helianthus ciliaris",-101.582726,33.868818,"gbif",2018-08-20,"1898826385"
"Helianthus ciliaris",-102.753754,33.958596,"gbif",2018-08-27,"1899794333"
"Helianthus ciliaris",-104.83081,31.03467,"gbif",2018-08-17,"2268971314"
"Helianthus ciliaris",-106.720751,32.454399,"gbif",2018-09-06,"1901086064"
"Helianthus ciliaris",-108.418103,33.612019,"gbif",2018-09-09,"1913176884"
"Helianthus ciliaris",-101.951981,34.200473,"gbif",2018-09-25,"1914248171"
"Helianthus ciliaris",-101.801,33.883837,"gbif",2018-10-04,"1920801162"
"Helianthus ciliaris",-101.961309,33.525594,"gbif",2018-10-13,"1931496809"
"Helianthus ciliaris",-101.80114,33.87683,"gbif",2018-10-04,"1932307701"
"Helianthus ciliaris",-102.121114,31.96312,"gbif",2018-10-22,"1932337297"
"Helianthus ciliaris",-101.839892,34.068481,"gbif",2018-10-26,"1933569986"
"Helianthus ciliaris",-101.797392,33.567568,"gbif",2018-12-05,"1986514668"
"Helianthus ciliaris",-101.962979,33.56803,"gbif",2017-03-14,"1500222991"
"Helianthus ciliaris",-101.99227,33.551834,"gbif",2017-03-14,"1500223014"
"Helianthus ciliaris",-101.996858,33.64313,"gbif",2017-04-07,"1500303385"
"Helianthus ciliaris",-101.971764,33.695382,"gbif",2017-05-20,"1571123110"
"Helianthus ciliaris",-100.861486,35.215284,"gbif",2017-05-20,"1580486311"
"Helianthus ciliaris",-101.973693,33.487875,"gbif",2017-05-31,"1580486700"
"Helianthus ciliaris",-101.5933,32.812875,"gbif",2017-06-03,"1571091798"
"Helianthus ciliaris",-101.90413,33.765865,"gbif",2017-06-03,"1571171403"
"Helianthus ciliaris",-101.949059,33.540179,"gbif",2017-08-06,"1586145465"
"Helianthus ciliaris",-102.00295,33.508624,"gbif",2017-08-16,"1621778325"
"Helianthus ciliaris",-101.980906,33.166953,"gbif",2017-08-26,"1640062009"
"Helianthus ciliaris",-102.226445,33.702713,"gbif",2017-09-13,"1640131694"
"Helianthus ciliaris",-105.169716,35.523533,"gbif",2017-09-30,"1802739086"
"Helianthus ciliaris",-106.854311,33.920106,"gbif",2017-09-04,"1842915924"
"Helianthus ciliaris",-106.854311,33.920106,"gbif",2017-09-04,"2423864274"
"Helianthus ciliaris",-102.211311,32.781138,"gbif",2017-10-08,"1677280864"
"Helianthus ciliaris",-103.711936,30.96185,"gbif",2017-11-05,"1703152455"
"Helianthus ciliaris",-102.116266,31.963066,"gbif",2017-12-12,"1802688331"
"Helianthus ciliaris",-102.12317,31.96589,"gbif",2017-12-12,"1802691953"
"Helianthus ciliaris",-101.813207,33.808897,"gbif",2016-05-22,"1270055206"
"Helianthus ciliaris",-101.969558,33.574737,"gbif",2016-05-14,"1291075784"
"Helianthus ciliaris",-101.89072,33.62322,"gbif",2016-05-28,"1453089813"
"Helianthus ciliaris",-102.752689,33.957034,"gbif",2016-06-04,"1291079603"
"Helianthus ciliaris",-101.863404,33.458401,"gbif",2016-06-05,"1291081704"
"Helianthus ciliaris",-101.925471,33.741569,"gbif",2016-06-28,"1291103320"
"Helianthus ciliaris",-101.974581,33.511472,"gbif",2016-06-10,"1453093013"
"Helianthus ciliaris",-106.64286,35.200569,"gbif",2016-06-26,"1805386872"
"Helianthus ciliaris",-103.730915,30.964178,"gbif",2016-06-08,"1831115835"
"Helianthus ciliaris",-102.873419,30.885114,"gbif",2016-06-09,"1831116005"
"Helianthus ciliaris",-101.815191,35.069659,"gbif",2016-09-21,"1453116371"
"Helianthus ciliaris",-101.849499,33.495284,"gbif",2016-10-22,"1453188875"
"Helianthus ciliaris",-104.71783,32.25568,"gbif",2015-06-22,"2422514809"
"Helianthus ciliaris",-117.0629,33.06053,"gbif",2015-06-28,"2424894419"
"Helianthus ciliaris",-101.892658,33.626603,"gbif",2015-07-10,"1211974959"
"Helianthus ciliaris",-101.863515,33.709503,"gbif",2015-10-17,"1211975156"
"Helianthus ciliaris",-102.068338,32.036319,"gbif",2015-10-16,"1211976642"
"Helianthus ciliaris",-101.927826,33.52934,"gbif",2015-11-07,"1211992336"
"Helianthus ciliaris",-97.394169,32.749905,"gbif",2013-10-23,"1891355020"
"Helianthus ciliaris",-101.890598,33.626425,"gbif",2012-05-20,"1227743113"
"Helianthus ciliaris",-103.78494,30.944404,"gbif",2012-05-31,"1831121210"
"Helianthus ciliaris",-106.82445,32.71447,"gbif",2012-10-14,"1305093478"
"Helianthus ciliaris",-103.72662,30.99254,"gbif",2012-10-13,"1305093492"
"Helianthus ciliaris",-106.78719,32.69065,"gbif",2012-10-14,"1305093522"
"Helianthus ciliaris",-105.38099,33.48948,"gbif",2012-10-10,"1305093523"
"Helianthus ciliaris",-105.52491,32.80798,"gbif",2012-10-13,"1305093531"
"Helianthus ciliaris",-101.846008,33.425346,"gbif",2011-05-21,"1291068836"
"Helianthus ciliaris",-112.440865,34.865665,"gbif",2011-05-15,"2270572667"
"Helianthus ciliaris",-101.810787,33.574777,"gbif",2011-06-03,"1257408947"
"Helianthus ciliaris",-102.07879,32.09331,"gbif",2011-09-05,"1233598681"
"Helianthus ciliaris",-98.934722,25.559722,"gbif",2010-08-19,"1264718932"
"Helianthus ciliaris",-103.83955,30.561322,"gbif",2010-08-25,"1702455836"
"Helianthus ciliaris",-101.8958,33.5133,"gbif",2008-06-14,"1936232045"
"Helianthus ciliaris",-101.8889,33.5064,"gbif",2008-06-16,"1936232459"
"Helianthus ciliaris",-105.791722,31.220528,"gbif",2007-05-12,"1304392473"
"Helianthus ciliaris",-105.791722,31.220528,"gbif",2007-05-12,"1611941438"
"Helianthus ciliaris",-105.792,31.2205,"gbif",2007-05-12,"2270688810"
"Helianthus ciliaris",-105.79172,31.22053,"gbif",2007-05-12,"2422466928"
"Helianthus ciliaris",-108.2091,33.1856459991353,"gbif",2006-07-25,"233099127"
"Helianthus ciliaris",-106.179444,31.458333,"gbif",2006-09-21,"1094845567"
"Helianthus ciliaris",-106.179444,31.458444,"gbif",2006-09-21,"1563372279"
"Helianthus ciliaris",-106.179,31.4584,"gbif",2006-09-21,"2270684936"
"Helianthus ciliaris",-105.15878,35.55775,"gbif",2005-07-01,"1843901936"
"Helianthus ciliaris",-105.165862,35.550528,"gbif",2005-08-11,"1843903484"
"Helianthus ciliaris",-101.4,33.025,"gbif",2004-05-25,"2626950997"
