"name","longitude","latitude","prov","date","key"
"Helianthus cusickii",-119.65422,46.489156,"gbif",2019-05-07,"2283022171"
"Helianthus cusickii",-120.46059,46.80001,"gbif",2019-05-29,"2445124542"
"Helianthus cusickii",-120.424305,44.880325,"gbif",2019-06-29,"2429216710"
"Helianthus cusickii",-120.421125,44.878297,"gbif",2019-06-29,"2444963446"
"Helianthus cusickii",-120.222047,48.43511,"gbif",2019-06-23,"2445057423"
"Helianthus cusickii",-120.436677,44.872095,"gbif",2019-06-28,"2445122432"
"Helianthus cusickii",-120.42,44.505953,"gbif",2019-07-17,"2422867480"
"Helianthus cusickii",-119.847862,39.57425,"gbif",2018-04-17,"2294396153"
"Helianthus cusickii",-120.278466,40.427617,"gbif",2018-08-10,"2282996418"
"Helianthus cusickii",-120.52647,46.63071,"gbif",2017-05-18,"2283445712"
"Helianthus cusickii",-119.850892,39.55557,"gbif",2017-06-08,"1571112528"
"Helianthus cusickii",-120.324722,40.563056,"gbif",2017-06-12,"2418052547"
"Helianthus cusickii",-120.054444,41.124444,"gbif",2015-06-05,"2418052189"
"Helianthus cusickii",-119.820833,40.924167,"gbif",2015-06-02,"2418057020"
"Helianthus cusickii",-119.683712,38.844185,"gbif",2012-05-30,"1847632171"
"Helianthus cusickii",-120.15972,44.56882,"gbif",2010-06-14,"1310100485"
"Helianthus cusickii",-119.402967,41.6039,"gbif",2010-06-24,"1846540222"
"Helianthus cusickii",-119.40297,41.60389,"gbif",2010-06-24,"1930926489"
"Helianthus cusickii",-120.273071,44.661522,"gbif",2010-06-28,"2244338196"
"Helianthus cusickii",-122.2325,38.510278,"gbif",2009-10-12,"1304535523"
"Helianthus cusickii",-122.2325,38.510278,"gbif",2009-10-12,"2418033103"
"Helianthus cusickii",-119.869692,40.990415,"gbif",2005-06-24,"2244225861"
"Helianthus cusickii",-119.94955,41.13579,"gbif",2005-06-24,"2626233146"
"Helianthus cusickii",-120.28235,40.4184,"gbif",2005-06-26,"2626242458"
"Helianthus cusickii",-119.17126,41.08687,"gbif",2005-06-24,"2626526786"
"Helianthus cusickii",-120.28539,40.67567,"gbif",2005-06-26,"2626671464"
"Helianthus cusickii",-117.403,43.5905,"gbif",2004-05-26,"1302716411"
"Helianthus cusickii",-117.40304,43.59051,"gbif",2004-05-26,"1931178078"
"Helianthus cusickii",-117.403,43.5905,"gbif",2004-05-26,"63856740"
"Helianthus cusickii",-120.055483,46.947317,"gbif",2003-05-03,"1302716529"
"Helianthus cusickii",-120.055483,46.947317,"gbif",2003-05-03,"441760871"
"Helianthus cusickii",-117.188,45.191,"gbif",2002-07-19,"1302716382"
"Helianthus cusickii",-117.188,45.191,"gbif",2002-07-19,"441760750"
"Helianthus cusickii",-119.18,41.09,"gbif",2000-05-25,"1928770650"
"Helianthus cusickii",-117.1257,43.5347,"gbif",1999-05-14,"1302716497"
"Helianthus cusickii",-117.1257,43.5347,"gbif",1999-05-14,"51850733"
"Helianthus cusickii",-118.8225,41.6211,"gbif",1999-06-11,"1928989105"
"Helianthus cusickii",-48.8225,41.621111,"gbif",1999-06-11,"2417995313"
"Helianthus cusickii",-119.713124,46.496833,"gbif",1997-05-28,"1302716429"
"Helianthus cusickii",-119.713124,46.496833,"gbif",1997-05-28,"1302716488"
"Helianthus cusickii",-119.713124,46.496833,"gbif",1997-05-28,"441760869"
"Helianthus cusickii",-119.713124,46.496833,"gbif",1997-05-28,"441760875"
"Helianthus cusickii",-117.1055,43.5555,"gbif",1995-05-27,"1302716469"
"Helianthus cusickii",-120.271111,40.443333,"gbif",1995-05-31,"1304499246"
"Helianthus cusickii",-120.271111,40.4433329990684,"gbif",1995-05-31,"2417983805"
"Helianthus cusickii",-117.1055,43.5555,"gbif",1995-05-27,"51850642"
"Helianthus cusickii",-119.713124,46.511833,"gbif",1994-04-13,"1302716434"
