"name","longitude","latitude","prov","date","key"
"Helianthus decapetalus",-81.790217,36.121733,"gbif",2019-07-24,"2595779479"
"Helianthus decapetalus",-81.790217,36.121733,"gbif",2019-07-24,"2595779512"
"Helianthus decapetalus",10.905979,59.071482,"gbif",2019-08-18,"2529060739"
"Helianthus decapetalus",-85.898784,42.626012,"gbif",2019-08-15,"2550092337"
"Helianthus decapetalus",-66.823119,45.964858,"gbif",2019-08-18,"2579368788"
"Helianthus decapetalus",-73.005511,43.423431,"gbif",2019-09-12,"2557647079"
"Helianthus decapetalus",-86.186394,41.970611,"gbif",2018-07-22,"1913657477"
"Helianthus decapetalus",-86.185495,41.939068,"gbif",2018-07-22,"2238775755"
"Helianthus decapetalus",-81.239703,43.024231,"gbif",2018-09-11,"1913187563"
"Helianthus decapetalus",-77.050255,38.774703,"gbif",2017-08-05,"1586142568"
"Helianthus decapetalus",-77.050369,38.774753,"gbif",2017-08-05,"1586142770"
"Helianthus decapetalus",-77.051363,38.780299,"gbif",2017-08-05,"1586143091"
"Helianthus decapetalus",-79.950836,40.436943,"gbif",2017-08-09,"1586154914"
"Helianthus decapetalus",-72.171691,43.795106,"gbif",2017-08-20,"1621789525"
"Helianthus decapetalus",-83.6056,32.8397,"gbif",2017-08-19,"1845614067"
"Helianthus decapetalus",-79.964583,43.26758,"gbif",2017-09-23,"1807277260"
"Helianthus decapetalus",-84.929359,43.563815,"gbif",2016-07-30,"1291158030"
"Helianthus decapetalus",-77.35876,39.709415,"gbif",2016-07-12,"1913716476"
"Helianthus decapetalus",-78.479856,38.436361,"gbif",2016-08-12,"1453102277"
"Helianthus decapetalus",-81.794237,37.951953,"gbif",2016-08-29,"1453105546"
"Helianthus decapetalus",-73.480693,41.120107,"gbif",2016-08-04,"1453427510"
"Helianthus decapetalus",-83.708633,42.281095,"gbif",2016-09-11,"1323000249"
"Helianthus decapetalus",-81.792631,37.949857,"gbif",2016-09-08,"1453111448"
"Helianthus decapetalus",-73.267442,41.430546,"gbif",2016-09-10,"1453111955"
"Helianthus decapetalus",-72.257584,43.797049,"gbif",2016-09-22,"1453116583"
"Helianthus decapetalus",6.83356,51.233707,"gbif",2016-09-18,"1580112587"
"Helianthus decapetalus",-73.957558,40.786708,"gbif",2016-09-07,"1928146111"
"Helianthus decapetalus",-73.957558,40.786708,"gbif",2016-09-07,"1928202050"
"Helianthus decapetalus",-80.55873,37.33612,"gbif",2015-08-02,"1899882267"
"Helianthus decapetalus",3.20151,51.25426,"gbif",2015-09-30,"1569954997"
"Helianthus decapetalus",3.199444,51.248333,"gbif",2015-09-30,"1840027940"
"Helianthus decapetalus",-80.458451,40.790312,"gbif",2014-07-27,"1024198681"
"Helianthus decapetalus",-73.957511,40.788228,"gbif",2014-07-30,"1929299977"
"Helianthus decapetalus",-73.957511,40.788228,"gbif",2014-07-30,"1930888525"
"Helianthus decapetalus",-73.960335,40.795372,"gbif",2014-08-08,"1927862839"
"Helianthus decapetalus",-73.967892,40.775864,"gbif",2014-08-13,"1928238493"
"Helianthus decapetalus",-73.955386,40.79465,"gbif",2014-08-08,"1929094752"
"Helianthus decapetalus",-73.967892,40.775864,"gbif",2014-08-13,"1930381788"
"Helianthus decapetalus",-73.960335,40.795372,"gbif",2014-08-08,"1930423106"
"Helianthus decapetalus",-73.960335,40.795372,"gbif",2014-08-08,"1930719701"
"Helianthus decapetalus",-78.089243,44.171852,"gbif",2014-08-29,"1993746381"
"Helianthus decapetalus",-3.08972,51.82856,"gbif",2014-09-08,"1550985808"
"Helianthus decapetalus",-84.61433,43.13783,"gbif",2013-07-23,"1989361947"
"Helianthus decapetalus",-76.7375,39.0609,"gbif",2013-08-02,"2284168123"
"Helianthus decapetalus",-73.08868,44.43457,"gbif",2013-09-01,"2573068473"
"Helianthus decapetalus",-79.8222,33.8707,"gbif",2013-10-11,"1849161948"
"Helianthus decapetalus",-84.47255,42.71495,"gbif",2012-07-29,"1030476365"
"Helianthus decapetalus",5.8,52.2,"gbif",2012-09-08,"1957145535"
"Helianthus decapetalus",-85.630832,36.492784,"gbif",2012-09-12,"2540715934"
