"name","longitude","latitude","prov","date","key"
"Helianthus divaricatus",-85.6094,35.127995,"gbif",2020-04-24,"2611013210"
"Helianthus divaricatus",-78.666048,35.887862,"gbif",2020-04-24,"2611112667"
"Helianthus divaricatus",-79.486437,35.397253,"gbif",2020-04-24,"2611305358"
"Helianthus divaricatus",-79.013948,35.977208,"gbif",2020-04-04,"2619884461"
"Helianthus divaricatus",-79.486275,35.397689,"gbif",2020-04-24,"2619921818"
"Helianthus divaricatus",-85.487778,32.659443,"gbif",2019-04-18,"2596219088"
"Helianthus divaricatus",-77.125625,44.0008,"gbif",2019-05-28,"2251948371"
"Helianthus divaricatus",-77.748097,37.777765,"gbif",2019-05-26,"2273207924"
"Helianthus divaricatus",-86.5224,36.102183,"gbif",2019-05-14,"2540729107"
"Helianthus divaricatus",-92.520636,34.844207,"gbif",2019-05-18,"2557637131"
"Helianthus divaricatus",-81.842609,42.28387,"gbif",2019-06-06,"2252076944"
"Helianthus divaricatus",-80.312242,43.320583,"gbif",2019-06-12,"2269227899"
"Helianthus divaricatus",-77.120792,44.561924,"gbif",2019-06-12,"2269231064"
"Helianthus divaricatus",-81.843381,42.279997,"gbif",2019-06-14,"2269240823"
"Helianthus divaricatus",-89.432976,32.334644,"gbif",2019-06-15,"2269274292"
"Helianthus divaricatus",-89.433167,32.333012,"gbif",2019-06-15,"2269285722"
"Helianthus divaricatus",-89.351151,34.437607,"gbif",2019-06-21,"2273238355"
"Helianthus divaricatus",-78.98998,35.853857,"gbif",2019-06-29,"2283073951"
"Helianthus divaricatus",-79.753096,43.461065,"gbif",2019-06-30,"2283111779"
"Helianthus divaricatus",-79.633525,43.550625,"gbif",2019-06-25,"2311285070"
"Helianthus divaricatus",-79.610628,43.55744,"gbif",2019-06-26,"2311285377"
"Helianthus divaricatus",-79.771921,43.412435,"gbif",2019-06-15,"2397476972"
"Helianthus divaricatus",-78.994645,35.862628,"gbif",2019-06-26,"2596105815"
"Helianthus divaricatus",-80.193025,35.109558,"gbif",2019-07-02,"2283130260"
"Helianthus divaricatus",-78.82383,38.053783,"gbif",2019-07-05,"2283176998"
"Helianthus divaricatus",-78.275525,37.174501,"gbif",2019-07-06,"2283186073"
"Helianthus divaricatus",-80.693794,34.934772,"gbif",2019-07-06,"2283201895"
"Helianthus divaricatus",-80.696022,34.92907,"gbif",2019-07-09,"2283246725"
"Helianthus divaricatus",-79.070161,35.833488,"gbif",2019-07-09,"2283247073"
"Helianthus divaricatus",-88.085908,36.847038,"gbif",2019-07-10,"2283274037"
"Helianthus divaricatus",-88.087028,36.846172,"gbif",2019-07-10,"2283279288"
"Helianthus divaricatus",-88.060347,36.847458,"gbif",2019-07-10,"2283280203"
"Helianthus divaricatus",-81.851544,43.237298,"gbif",2019-07-01,"2294442997"
