"name","longitude","latitude","prov","date","key"
"Helianthus floridanus",-81.722453,30.033515,"gbif",2019-10-14,"2429590396"
"Helianthus floridanus",-81.360542,29.996194,"gbif",2018-11-03,"2028470422"
"Helianthus floridanus",-80.8893,28.6209,"gbif",2006-10-26,"1258119859"
"Helianthus floridanus",-80.889255,28.620852,"gbif",2006-10-26,"1457772822"
"Helianthus floridanus",-83.87,30.95,"gbif",2002-10-12,"56586275"
"Helianthus floridanus",-83.87,30.95,"gbif",2002-10-12,"56586277"
"Helianthus floridanus",-81.2689,28.3608,"gbif",1999-06-24,"1503274162"
"Helianthus floridanus",-81.5139,29.5283,"gbif",1991-10-17,"1503273768"
"Helianthus floridanus",-82.0644,30.685,"gbif",1991-10-18,"1845614412"
"Helianthus floridanus",-84.78,29.87,"gbif",1980-11-02,"239701208"
"Helianthus floridanus",-83.57,30.85,"gbif",1967-09-06,"239701210"
"Helianthus floridanus",-83.255941,30.730116,"gbif",1965-10-07,"2234438814"
"Helianthus floridanus",-81.9,31.57,"gbif",1947-09-13,"239701209"
"Helianthus floridanus",-81.65583,30.33194,"gbif",1898-10-19,"415907144"
"Helianthus floridanus",-81.54,31.5475,"gbif",NA,"1305051850"
"Helianthus floridanus",-81.648611,31.899167,"gbif",NA,"1305051873"
"Helianthus floridanus",-81.549722,31.930556,"gbif",NA,"1305051875"
"Helianthus floridanus",-83.811111,31.304722,"gbif",NA,"1305051878"
"Helianthus floridanus",-82,30.816667,"gbif",NA,"1305051880"
"Helianthus floridanus",-81.85,30.066667,"gbif",NA,"1305051882"
"Helianthus floridanus",-82,30.816667,"gbif",NA,"1305051885"
"Helianthus floridanus",-83.674167,31.138889,"gbif",NA,"1305051889"
"Helianthus floridanus",-83.65,30.783333,"gbif",NA,"1305051900"
"Helianthus floridanus",-82.35,31.2,"gbif",NA,"1305051910"
"Helianthus floridanus",-81.816667,30.55,"gbif",NA,"1305051912"
"Helianthus floridanus",-83.174594,34.20983,"gbif",NA,"1849100029"
"Helianthus floridanus",-81.81667,30.55,"gbif",NA,"40898213"
"Helianthus floridanus",-82,30.81667,"gbif",NA,"40898215"
"Helianthus floridanus",-83.81111,31.30472,"gbif",NA,"91595444"
"Helianthus floridanus",-83.67417,31.13889,"gbif",NA,"91595445"
"Helianthus floridanus",-82.35722,29.675741,"bison",NA,"2070155920"
"Helianthus floridanus",-91.09318,30.544003,"bison",NA,"2068127424"
"Helianthus floridanus",-93.55923,31.56021,"bison",NA,"2067637155"
"Helianthus floridanus",-89.93901,30.068636,"bison",NA,"2063386511"
"Helianthus floridanus",-89.951965,30.410023,"bison",NA,"2068309043"
"Helianthus floridanus",-83.27704,31.604305,"bison",NA,"2069880891"
"Helianthus floridanus",-80.21789,33.66468,"bison",NA,"2070864230"
"Helianthus floridanus",-83.58191,30.822933,"bison",NA,"2069781842"
"Helianthus floridanus",-91.463806,29.629349,"bison",NA,"2068041589"
"Helianthus floridanus",-81.85815,29.987116,"bison",NA,"2070307263"
"Helianthus floridanus",-81.74287,31.749563,"bison",NA,"2070332588"
"Helianthus floridanus",-81.76493,30.605927,"bison",NA,"2070329996"
"Helianthus floridanus",-81.74089,29.606007,"bison",NA,"2070333382"
"Helianthus floridanus",-81.16181,29.057617,"bison",NA,"2070503941"
"Helianthus floridanus",-81.13931,28.059027,"bison",NA,"2070512946"
"Helianthus floridanus",-81.13198,28.690079,"bison",NA,"2070515242"
"Helianthus floridanus",-81.08519,31.980522,"bison",NA,"2070532695"
"Helianthus floridanus",-81.38395,29.890654,"bison",NA,"2070446044"
"Helianthus floridanus",-81.3702,31.482977,"bison",NA,"2070449639"
"Helianthus floridanus",-81.91238,31.547846,"bison",NA,"2070282456"
"Helianthus floridanus",-83.17459,34.20983,"bison",NA,"1849100029"
"Helianthus floridanus",NA,NA,"bison",1901-09-20,"1456312492"
"Helianthus floridanus",NA,NA,"bison",1891-10-03,"1456329386"
"Helianthus floridanus",NA,NA,"bison",1886-10-04,"1456334479"
"Helianthus floridanus",NA,NA,"bison",1900-10-20,"1456353647"
"Helianthus floridanus",NA,NA,"bison",1927-10-01,"1456357497"
"Helianthus floridanus",NA,NA,"bison",1886-01-01,"1456368892"
"Helianthus floridanus",NA,NA,"bison",NA,"1456381119"
"Helianthus floridanus",NA,NA,"bison",1891-01-01,"1456385302"
"Helianthus floridanus",NA,NA,"bison",NA,"1456388271"
"Helianthus floridanus",NA,NA,"bison",1886-10-01,"1456396147"
"Helianthus floridanus",NA,NA,"bison",1953-09-25,"1456461140"
"Helianthus floridanus",NA,NA,"bison",1883-10-04,"1456469084"
