"name","longitude","latitude","prov","date","key"
"Helianthus giganteus",-83.069943,42.257385,"gbif",2019-08-08,"2331968461"
"Helianthus giganteus",-91.224395,47.383192,"gbif",2019-08-09,"2350347433"
"Helianthus giganteus",-83.595404,42.833439,"gbif",2019-08-12,"2350405979"
"Helianthus giganteus",-81.368726,42.976095,"gbif",2019-08-20,"2366122862"
"Helianthus giganteus",-91.205287,47.38858,"gbif",2019-08-21,"2397513479"
"Helianthus giganteus",-90.907745,46.666852,"gbif",2019-08-24,"2397554931"
"Helianthus giganteus",-83.868494,43.125772,"gbif",2019-08-29,"2397619989"
"Helianthus giganteus",-82.337308,42.764456,"gbif",2019-08-31,"2397682849"
"Helianthus giganteus",-93.04,45.1,"gbif",2019-08-25,"2422883853"
"Helianthus giganteus",-82.171595,42.415539,"gbif",2019-08-12,"2429229161"
"Helianthus giganteus",-85.899376,42.654518,"gbif",2019-08-15,"2429515254"
"Helianthus giganteus",-85.898537,42.65324,"gbif",2019-08-31,"2429517924"
"Helianthus giganteus",-89.179707,46.752281,"gbif",2019-08-03,"2456548391"
"Helianthus giganteus",-89.00818,46.756955,"gbif",2019-08-03,"2456553271"
"Helianthus giganteus",-85.898664,42.658927,"gbif",2019-08-14,"2460077215"
"Helianthus giganteus",-79.934229,43.416709,"gbif",2019-08-30,"2465122101"
"Helianthus giganteus",-81.045111,42.702708,"gbif",2019-08-31,"2518059009"
"Helianthus giganteus",-91.615335,47.080267,"gbif",2019-08-02,"2574189801"
"Helianthus giganteus",-90.969217,46.582266,"gbif",2019-08-12,"2596130827"
"Helianthus giganteus",-91.194399,47.383285,"gbif",2019-09-02,"2397683560"
"Helianthus giganteus",-85.592379,41.67762,"gbif",2019-09-02,"2422894825"
"Helianthus giganteus",-88.473718,42.834502,"gbif",2019-09-01,"2422894922"
"Helianthus giganteus",-93.641418,45.708912,"gbif",2019-09-10,"2423007628"
"Helianthus giganteus",-80.34837,43.387804,"gbif",2019-09-13,"2423053433"
"Helianthus giganteus",-79.530535,44.199548,"gbif",2019-09-15,"2423103372"
"Helianthus giganteus",-76.073714,39.727805,"gbif",2019-09-22,"2423194620"
"Helianthus giganteus",-77.807083,44.543124,"gbif",2019-09-22,"2423222593"
"Helianthus giganteus",-82.40334,42.368823,"gbif",2019-09-10,"2542905448"
"Helianthus giganteus",-81.447731,42.607399,"gbif",2019-09-23,"2543020857"
"Helianthus giganteus",-91.207384,47.38345,"gbif",2019-09-18,"2596041883"
"Helianthus giganteus",-82.400925,42.378806,"gbif",2019-10-29,"2447980387"
"Helianthus giganteus",-83.077283,42.269263,"gbif",2019-10-05,"2540741303"
"Helianthus giganteus",-79.606656,43.529656,"gbif",2019-11-24,"2465151665"
"Helianthus giganteus",-81.045444,42.703636,"gbif",2018-07-16,"1883916472"
"Helianthus giganteus",-81.305762,41.327766,"gbif",2018-07-28,"1890053818"
"Helianthus giganteus",-81.867967,43.225453,"gbif",2018-07-30,"1890677316"
"Helianthus giganteus",-80.403988,42.670876,"gbif",2018-07-28,"1901030379"
"Helianthus giganteus",-84.209442,42.309319,"gbif",2018-07-29,"1913657876"
"Helianthus giganteus",-80.231915,43.282769,"gbif",2018-07-13,"2005262764"
"Helianthus giganteus",-84.209504,42.309176,"gbif",2018-07-29,"2005270781"
"Helianthus giganteus",-92.628052,47.2775,"gbif",2018-08-04,"1890688804"
"Helianthus giganteus",-92.136445,47.078586,"gbif",2018-08-06,"1890718452"
"Helianthus giganteus",-80.352879,43.379557,"gbif",2018-08-20,"1898820771"
"Helianthus giganteus",-81.674233,40.997775,"gbif",2018-08-31,"1946198971"
"Helianthus giganteus",-81.052871,42.709138,"gbif",2018-08-18,"1990449752"
"Helianthus giganteus",-81.457662,42.762781,"gbif",2018-08-26,"1990450493"
"Helianthus giganteus",-83.22249,42.140833,"gbif",2018-08-04,"2005269492"
"Helianthus giganteus",-92.201325,46.711533,"gbif",2018-08-06,"2238834423"
"Helianthus giganteus",-91.241518,47.386143,"gbif",2018-08-15,"2422816376"
"Helianthus giganteus",-93.710784,45.497834,"gbif",2018-08-19,"2422816635"
"Helianthus giganteus",-91.313692,47.291108,"gbif",2018-08-22,"2422816795"
