"name","longitude","latitude","prov","date","key"
"Helianthus glaucophyllus",-84.513589,34.891869,"gbif",2006-08-18,"2234437903"
"Helianthus glaucophyllus",-84.513589,34.891869,"gbif",2006-08-18,"2234438073"
"Helianthus glaucophyllus",-82.145259,35.813619,"gbif",1999-10-18,"2273377654"
"Helianthus glaucophyllus",-83.012232,35.369773,"gbif",1996-10-13,"2273387913"
"Helianthus glaucophyllus",-83.971107,35.42174,"gbif",1994-08-17,"2234436072"
"Helianthus glaucophyllus",-82.2,35.7,"gbif",1992-09-15,"1261311528"
"Helianthus glaucophyllus",-83.045612,35.22382,"gbif",1990-12-01,"2273388333"
"Helianthus glaucophyllus",-81.807627,36.157896,"gbif",1978-09-02,"2234437212"
"Helianthus glaucophyllus",-81.935232,36.129686,"gbif",1958-07-24,"2234437804"
"Helianthus glaucophyllus",-81.922601,36.076605,"gbif",1958-10-01,"2234438540"
"Helianthus glaucophyllus",-83.17805,35.63385,"gbif",1936-08-14,"2234437558"
"Helianthus glaucophyllus",-81.678333,36.133333,"gbif",NA,"1305054190"
"Helianthus glaucophyllus",-82.14,36.136944,"gbif",NA,"1305054198"
"Helianthus glaucophyllus",-82.399722,35.706667,"gbif",NA,"1305054200"
"Helianthus glaucophyllus",-82.430278,36.095556,"gbif",NA,"1305054202"
"Helianthus glaucophyllus",-82.293056,35.2025,"gbif",NA,"1305054204"
"Helianthus glaucophyllus",-82.343333,36.116667,"gbif",NA,"1305054206"
"Helianthus glaucophyllus",-81.678333,36.133333,"gbif",NA,"1305054211"
"Helianthus glaucophyllus",-82.355278,35.811667,"gbif",NA,"1305054213"
"Helianthus glaucophyllus",-82.166389,35.766389,"gbif",NA,"1305054214"
"Helianthus glaucophyllus",-81.919167,36.105278,"gbif",NA,"1305054219"
"Helianthus glaucophyllus",-81.824722,35.586944,"gbif",NA,"1305054220"
"Helianthus glaucophyllus",-82.256944,35.181667,"gbif",NA,"1305054230"
"Helianthus glaucophyllus",-82.086111,36.127778,"gbif",NA,"1305054231"
