"name","longitude","latitude","prov","date","key"
"Helianthus hirsutus",-96.072387,35.627649,"gbif",2020-04-18,"2609343948"
"Helianthus hirsutus",-96.56699,32.640589,"gbif",2020-04-24,"2610953096"
"Helianthus hirsutus",-95.653246,36.293048,"gbif",2020-04-26,"2611046577"
"Helianthus hirsutus",-85.313637,35.147358,"gbif",2020-04-25,"2611305921"
"Helianthus hirsutus",-95.657209,30.528689,"gbif",2020-04-26,"2619870632"
"Helianthus hirsutus",-97.0934,32.773782,"gbif",2020-04-26,"2619994652"
"Helianthus hirsutus",-84.727692,36.131233,"gbif",2020-05-17,"2626210316"
"Helianthus hirsutus",-87.280167,35.431938,"gbif",2020-05-11,"2626225474"
"Helianthus hirsutus",-83.632295,35.985767,"gbif",2020-05-01,"2626577800"
"Helianthus hirsutus",-96.661474,32.96665,"gbif",2019-04-27,"2242817444"
"Helianthus hirsutus",-96.568069,32.641044,"gbif",2019-04-29,"2242821712"
"Helianthus hirsutus",-96.716028,32.847686,"gbif",2019-04-29,"2242852798"
"Helianthus hirsutus",-84.716903,35.902092,"gbif",2019-05-15,"2273206783"
"Helianthus hirsutus",-85.254922,35.876197,"gbif",2019-05-29,"2331831980"
"Helianthus hirsutus",-92.99967,45.181841,"gbif",2019-05-25,"2422843896"
"Helianthus hirsutus",-97.059364,32.983019,"gbif",2019-05-24,"2596055789"
"Helianthus hirsutus",-84.946205,35.942588,"gbif",2019-06-04,"2265805562"
"Helianthus hirsutus",-87.340535,35.480754,"gbif",2019-06-28,"2283051187"
"Helianthus hirsutus",-87.340545,35.480763,"gbif",2019-06-28,"2283051984"
"Helianthus hirsutus",-95.672778,30.540556,"gbif",2019-06-29,"2283084079"
"Helianthus hirsutus",-96.706946,32.741798,"gbif",2019-06-30,"2283097717"
"Helianthus hirsutus",-88.041428,36.802025,"gbif",2019-07-10,"2283268362"
"Helianthus hirsutus",-88.041436,36.801963,"gbif",2019-07-10,"2283268668"
"Helianthus hirsutus",-86.552872,36.013692,"gbif",2019-07-13,"2294488177"
"Helianthus hirsutus",-86.55213,36.01355,"gbif",2019-07-13,"2294488657"
"Helianthus hirsutus",-86.79888,36.419814,"gbif",2019-07-16,"2294529139"
"Helianthus hirsutus",-97.036205,32.976202,"gbif",2019-07-18,"2294567998"
"Helianthus hirsutus",-96.66045,32.967378,"gbif",2019-07-14,"2294581669"
"Helianthus hirsutus",-97.116445,32.785465,"gbif",2019-07-20,"2294593209"
"Helianthus hirsutus",-87.340907,35.48094,"gbif",2019-07-21,"2294614931"
"Helianthus hirsutus",-84.532045,34.289958,"gbif",2019-07-13,"2331839506"
"Helianthus hirsutus",-89.968948,34.504189,"gbif",2019-07-22,"2331844990"
"Helianthus hirsutus",-88.617415,35.201463,"gbif",2019-07-27,"2331848902"
"Helianthus hirsutus",-88.617432,35.201487,"gbif",2019-07-27,"2331848905"
"Helianthus hirsutus",-94.342537,36.510595,"gbif",2019-07-09,"2350315370"
"Helianthus hirsutus",-87.129814,35.88653,"gbif",2019-07-31,"2350323078"
"Helianthus hirsutus",-87.103333,35.879078,"gbif",2019-07-31,"2350323189"
"Helianthus hirsutus",-87.135642,35.8852,"gbif",2019-07-31,"2350323265"
"Helianthus hirsutus",-87.473113,35.87167,"gbif",2019-07-31,"2350323295"
"Helianthus hirsutus",-87.130464,35.886975,"gbif",2019-07-31,"2350323300"
"Helianthus hirsutus",-96.97958,33.06209,"gbif",2019-07-13,"2366025435"
"Helianthus hirsutus",-88.079064,36.827239,"gbif",2019-07-24,"2397522791"
"Helianthus hirsutus",-88.084892,36.832906,"gbif",2019-07-24,"2397522842"
"Helianthus hirsutus",-96.541213,39.110708,"gbif",2019-07-18,"2422860066"
"Helianthus hirsutus",-97.069427,32.960922,"gbif",2019-08-03,"2331880637"
"Helianthus hirsutus",-97.069962,32.960934,"gbif",2019-08-03,"2331882133"
"Helianthus hirsutus",-98.458206,30.193111,"gbif",2019-08-03,"2331887268"
"Helianthus hirsutus",-96.989997,34.490366,"gbif",2019-08-04,"2350326158"
"Helianthus hirsutus",-97.094917,32.96336,"gbif",2019-08-09,"2350346391"
"Helianthus hirsutus",-87.487822,35.526195,"gbif",2019-08-11,"2350399128"
"Helianthus hirsutus",-86.462137,36.0509,"gbif",2019-08-16,"2366092349"
"Helianthus hirsutus",-92.414628,34.758194,"gbif",2019-08-03,"2397493890"
"Helianthus hirsutus",-88.056686,36.788467,"gbif",2019-08-08,"2397507414"
"Helianthus hirsutus",-88.054917,36.787597,"gbif",2019-08-07,"2397508996"
"Helianthus hirsutus",-88.060981,36.787706,"gbif",2019-08-07,"2397509347"
"Helianthus hirsutus",-88.053444,36.792197,"gbif",2019-08-07,"2397510294"
"Helianthus hirsutus",-88.841166,34.405117,"gbif",2019-08-25,"2397576001"
"Helianthus hirsutus",-96.659968,33.03418,"gbif",2019-08-24,"2397585835"
"Helianthus hirsutus",-86.11335,35.420588,"gbif",2019-08-24,"2397619388"
"Helianthus hirsutus",-94.052603,44.123747,"gbif",2019-08-30,"2397640744"
"Helianthus hirsutus",-87.780224,42.002335,"gbif",2019-08-18,"2422878574"
"Helianthus hirsutus",-92.330036,34.971359,"gbif",2019-08-23,"2422881411"
"Helianthus hirsutus",-85.62468,34.391518,"gbif",2019-08-09,"2429227892"
"Helianthus hirsutus",-89.226254,42.157761,"gbif",2019-08-28,"2563459804"
"Helianthus hirsutus",-97.345588,33.34211,"gbif",2019-09-13,"2423054788"
"Helianthus hirsutus",-92.366997,46.654021,"gbif",2019-09-22,"2423193313"
"Helianthus hirsutus",-83.549314,38.140032,"gbif",2019-09-25,"2423245847"
"Helianthus hirsutus",-97.115814,32.905506,"gbif",2019-09-23,"2429258340"
"Helianthus hirsutus",-88.204109,40.079285,"gbif",2019-09-07,"2563461527"
"Helianthus hirsutus",-97.573363,31.793558,"gbif",2019-10-03,"2429367000"
"Helianthus hirsutus",-97.101998,32.58716,"gbif",2019-10-08,"2429516732"
"Helianthus hirsutus",-91.495862,34.779882,"gbif",2019-10-05,"2447941203"
"Helianthus hirsutus",-88.385585,37.603695,"gbif",2018-04-15,"2529308020"
"Helianthus hirsutus",-95.661073,30.537878,"gbif",2018-05-18,"1847548484"
"Helianthus hirsutus",-85.884322,34.270533,"gbif",2018-06-27,"1880615753"
"Helianthus hirsutus",-86.003114,35.126103,"gbif",2018-06-25,"2331823304"
"Helianthus hirsutus",-85.129914,35.588599,"gbif",2018-06-28,"2540716838"
"Helianthus hirsutus",-84.938605,35.786392,"gbif",2018-06-29,"2540716903"
"Helianthus hirsutus",-88.067764,36.784713,"gbif",2018-07-08,"1883913836"
"Helianthus hirsutus",-96.648338,32.955452,"gbif",2018-07-25,"1883960026"
"Helianthus hirsutus",-86.955541,36.73393,"gbif",2018-07-26,"1883967813"
"Helianthus hirsutus",-87.19738,36.769562,"gbif",2018-07-01,"1890035796"
"Helianthus hirsutus",-87.314308,36.849647,"gbif",2018-07-06,"1890036311"
"Helianthus hirsutus",-97.077829,32.995859,"gbif",2018-07-29,"1890059348"
"Helianthus hirsutus",-89.181452,31.570212,"gbif",2018-07-29,"1890674782"
"Helianthus hirsutus",-84.085986,42.339,"gbif",2018-07-29,"1913657880"
"Helianthus hirsutus",-84.111993,42.213867,"gbif",2018-07-29,"1986543443"
"Helianthus hirsutus",-84.101463,42.384982,"gbif",2018-07-29,"2236827879"
"Helianthus hirsutus",-86.977517,36.618272,"gbif",2018-07-29,"2331823779"
"Helianthus hirsutus",-87.794167,35.889622,"gbif",2018-08-04,"1890690228"
"Helianthus hirsutus",-90.751022,40.435914,"gbif",2018-08-06,"1891297614"
"Helianthus hirsutus",-97.174897,30.063831,"gbif",2018-08-16,"1898802692"
"Helianthus hirsutus",-84.940262,35.788995,"gbif",2018-08-07,"1899782845"
"Helianthus hirsutus",-83.729286,37.971246,"gbif",2018-08-28,"1935585707"
"Helianthus hirsutus",-90.813056,38.474445,"gbif",2018-08-31,"2268973345"
"Helianthus hirsutus",-83.681258,34.723778,"gbif",2018-08-18,"2331824167"
"Helianthus hirsutus",-93.711233,45.496884,"gbif",2018-08-19,"2422816616"
"Helianthus hirsutus",-97.11158,32.90569,"gbif",2018-09-01,"1901066028"
"Helianthus hirsutus",-97.018753,32.964229,"gbif",2018-09-14,"1914336055"
"Helianthus hirsutus",-97.10216,32.584628,"gbif",2018-09-30,"1914339223"
"Helianthus hirsutus",-97.046143,33.411278,"gbif",2018-09-29,"1931514327"
"Helianthus hirsutus",-88.517478,35.042736,"gbif",2018-09-08,"2331824574"
"Helianthus hirsutus",-86.404337,36.085606,"gbif",2018-09-16,"2331824644"
"Helianthus hirsutus",-84.637153,36.39038,"gbif",2018-09-02,"2540718235"
"Helianthus hirsutus",-94.14877,36.092097,"gbif",2018-09-22,"2573791564"
"Helianthus hirsutus",-80.463192,33.741001,"gbif",2018-11-01,"2245575181"
"Helianthus hirsutus",-85.659428,43.892267,"gbif",2017-03-08,"2460526222"
"Helianthus hirsutus",-80.181159,32.567508,"gbif",2017-05-12,"1562931745"
"Helianthus hirsutus",-97.156352,32.985677,"gbif",2017-06-30,"1572342846"
"Helianthus hirsutus",-97.063078,33.006011,"gbif",2017-07-17,"1580504544"
"Helianthus hirsutus",-97.002382,33.202443,"gbif",2017-07-29,"1586110000"
"Helianthus hirsutus",-97.098652,32.58693,"gbif",2017-07-30,"1586111912"
"Helianthus hirsutus",-94.185206,31.040234,"gbif",2017-07-21,"1586121465"
"Helianthus hirsutus",-90.40178,37.25895,"gbif",2017-07-29,"2268906264"
