"name","longitude","latitude","prov","date","key"
"Helianthus laevigatus",-80.292146,35.542102,"gbif",2019-07-07,"2283217547"
"Helianthus laevigatus",-79.948445,35.401973,"gbif",2016-10-02,"1453191312"
"Helianthus laevigatus",-79.8199,33.8695,"gbif",2013-10-11,"1849107721"
"Helianthus laevigatus",-84.04,35.19,"gbif",1998-08-14,"1086047408"
"Helianthus laevigatus",-84.04444,35.19333,"gbif",1998-08-14,"1258500484"
"Helianthus laevigatus",-80,37,"gbif",1985-10-17,"1563543248"
"Helianthus laevigatus",-80,37,"gbif",1985-10-16,"1563543381"
"Helianthus laevigatus",-79,37,"gbif",1985-10-16,"1563589991"
"Helianthus laevigatus",-80,37,"gbif",1985-10-16,"1563612349"
"Helianthus laevigatus",-80.133209,37.235264,"gbif",1974-08-29,"2234438491"
"Helianthus laevigatus",-80.467876,37.262763,"gbif",1974-08-14,"2234439445"
"Helianthus laevigatus",-80.415652,37.189488,"gbif",1971-08-11,"2234439075"
"Helianthus laevigatus",-80.431615,37.275492,"gbif",1969-09-30,"2234437557"
"Helianthus laevigatus",-79.710469,37.447002,"gbif",1968-08-19,"2234437318"
"Helianthus laevigatus",-79.330759,37.664279,"gbif",1964-08-29,"2234517631"
"Helianthus laevigatus",-79.257815,38.393736,"gbif",1933-09-04,"2234436899"
"Helianthus laevigatus",-79.257815,38.393736,"gbif",1933-09-04,"2234518053"
"Helianthus laevigatus",-80,37,"gbif",NA,"1302304825"
"Helianthus laevigatus",-79,37,"gbif",NA,"1302304870"
"Helianthus laevigatus",-80,37,"gbif",NA,"1302304893"
"Helianthus laevigatus",-80,37,"gbif",NA,"1302304919"
"Helianthus laevigatus",-81.449722,35.688889,"gbif",NA,"1305076087"
"Helianthus laevigatus",-79,37,"gbif",NA,"1305076105"
"Helianthus laevigatus",-79.783333,37.566667,"gbif",NA,"1305076111"
"Helianthus laevigatus",-80,37,"gbif",NA,"1305076114"
"Helianthus laevigatus",-79.933333,37.266667,"gbif",NA,"1305076118"
"Helianthus laevigatus",-80,37,"gbif",NA,"1305076119"
"Helianthus laevigatus",-80.073889,35.4875,"gbif",NA,"1305076125"
"Helianthus laevigatus",-79.924444,35.479722,"gbif",NA,"1305076132"
"Helianthus laevigatus",-79.933333,37.266667,"gbif",NA,"1305076134"
"Helianthus laevigatus",-80,37,"gbif",NA,"1305076141"
"Helianthus laevigatus",-79.933333,37.266667,"gbif",NA,"1305076153"
"Helianthus laevigatus",-79.52418,37.315145,"gbif",NA,"2234437975"
"Helianthus laevigatus",-79.78333,37.56667,"gbif",NA,"40899314"
"Helianthus laevigatus",-79.93333,37.26667,"gbif",NA,"40899431"
"Helianthus laevigatus",-80,37,"gbif",NA,"40899504"
"Helianthus laevigatus",-80,37,"gbif",NA,"40899505"
