"name","longitude","latitude","prov","date","key"
"Helianthus longifolius",-85.747174,34.299005,"gbif",2020-04-10,"2609203816"
"Helianthus longifolius",-86.178073,34.033964,"gbif",2019-09-01,"2422922437"
"Helianthus longifolius",-86.021893,34.164392,"gbif",2019-09-05,"2429246873"
"Helianthus longifolius",-85.697212,34.268826,"gbif",2018-06-26,"1883930186"
"Helianthus longifolius",-86.115201,34.225923,"gbif",2018-06-10,"2251818188"
"Helianthus longifolius",-85.467346,34.427201,"gbif",2018-06-28,"2540716993"
"Helianthus longifolius",-85.696396,34.275774,"gbif",2018-09-06,"1920793608"
"Helianthus longifolius",-85.618063,33.243055,"gbif",2018-09-22,"2445040384"
"Helianthus longifolius",-77.0143,38.8902,"gbif",2016-10-27,"1563201397"
"Helianthus longifolius",-85.672339,34.276302,"gbif",2014-09-17,"1946364731"
"Helianthus longifolius",-86.03139,34.04667,"gbif",2007-10-28,"217061912"
"Helianthus longifolius",-85.91666,34.38334,"gbif",1947-09-12,"56585518"
"Helianthus longifolius",-83.196817,35.052591,"gbif",1932-08-31,"2234291092"
"Helianthus longifolius",-85.675278,34.431944,"gbif",NA,"1305077591"
"Helianthus longifolius",-85.696389,34.757778,"gbif",NA,"1305077607"
"Helianthus longifolius",-85.866667,34.416667,"gbif",NA,"1305077632"
"Helianthus longifolius",-84.374444,32.425278,"gbif",NA,"1305077634"
"Helianthus longifolius",-84.37444,32.42528,"gbif",NA,"91595737"
"Helianthus longifolius",-85.69639,34.75778,"gbif",NA,"91595740"
"Helianthus longifolius",-85.67528,34.43194,"gbif",NA,"91595742"
"Helianthus longifolius",-85.80399,34.46093,"bison",NA,"2069094428"
"Helianthus longifolius",-85.34529,34.47418,"bison",NA,"2069198290"
"Helianthus longifolius",-85.30538,34.73583,"bison",NA,"2069210767"
"Helianthus longifolius",-85.139595,33.29097,"bison",NA,"2069258516"
"Helianthus longifolius",-84.77537,32.38759,"bison",1993-10-06,"2069368204"
"Helianthus longifolius",-84.67304,32.44905,"bison",1993-10-11,"2069394933"
"Helianthus longifolius",-84.25143,32.55467,"bison",NA,"2069537637"
"Helianthus longifolius",-83.4219,35.152958,"bison",NA,"2069840783"
"Helianthus longifolius",NA,NA,"bison",1969-08-29,"1302625609"
"Helianthus longifolius",NA,NA,"bison",1968-09-14,"1302625661"
"Helianthus longifolius",NA,NA,"bison",1899-09-20,"1456074888"
"Helianthus longifolius",NA,NA,"bison",1900-10-09,"1456136044"
"Helianthus longifolius",NA,NA,"bison",1933-08-29,"1456141964"
"Helianthus longifolius",NA,NA,"bison",1947-09-12,"1456200331"
"Helianthus longifolius",NA,NA,"bison",1908-09-13,"1456243413"
"Helianthus longifolius",NA,NA,"bison",2004-08-31,"1849132739"
"Helianthus longifolius",NA,NA,"bison",2007-01-01,"1849180791"
"Helianthus longifolius",NA,NA,"bison",NA,"40899376"
"Helianthus longifolius",-84.67422,32.44862,"bison",1993-10-11,"2069394796"
"Helianthus longifolius",-85.59478,34.446514,"bison",NA,"2069139376"
"Helianthus longifolius",-84.674934,32.34601,"bison",1993-10-06,"2069394665"
"Helianthus longifolius",-84.672066,32.449574,"bison",1993-10-10,"2069395310"
"Helianthus longifolius",-84.67145,32.44866,"bison",1993-10-11,"2069395425"
"Helianthus longifolius",-85.91666,34.38334,"bison",1947-09-12,"56585518"
"Helianthus longifolius",-84.529564,32.35954,"bison",1980-09-13,"1302625633"
"Helianthus longifolius",-84.53003,32.7046,"bison",1980-09-13,"1302625681"
"Helianthus longifolius",-84.37444,32.42528,"bison",NA,"91595737"
