"name","longitude","latitude","prov","date","key"
"Helianthus paradoxus",-102.858193,31.120195,"gbif",2013-09-18,"899955247"
"Helianthus paradoxus",-104.549555,33.542349,"gbif",2011-09-11,"1227775019"
"Helianthus paradoxus",-104.498066,33.442802,"gbif",2005-09-10,"1227775018"
"Helianthus paradoxus",-104.676233,34.941267,"gbif",NA,"1304286026"
"Helianthus paradoxus",-104.413683,33.43075,"gbif",NA,"1304286042"
"Helianthus paradoxus",-104.664767,34.926083,"gbif",NA,"1304286054"
"Helianthus paradoxus",-104.670983,34.931267,"gbif",NA,"1304286061"
"Helianthus paradoxus",-104.331483,33.31865,"gbif",NA,"1304286068"
"Helianthus paradoxus",-104.3421,33.1939,"gbif",NA,"1304286436"
"Helianthus paradoxus",-104.3421,33.1939,"gbif",NA,"1304286447"
"Helianthus paradoxus",-104.6726,34.9357,"gbif",NA,"1304286457"
"Helianthus paradoxus",-102.9224,31.0061,"gbif",NA,"1304286458"
"Helianthus paradoxus",-106.8631,34.3514,"gbif",NA,"1304286463"
"Helianthus paradoxus",-104.6761,34.9407,"gbif",NA,"1304286464"
"Helianthus paradoxus",-104.37,33.22,"gbif",NA,"1304286466"
"Helianthus paradoxus",-102.8869,31.0405,"gbif",NA,"1304286467"
"Helianthus paradoxus",-104.692,35.0619,"gbif",NA,"1304286468"
"Helianthus paradoxus",-104.37,33.22,"gbif",NA,"1304286469"
"Helianthus paradoxus",-104.4701,33.4308,"gbif",NA,"1304286471"
"Helianthus paradoxus",-102.88,30.95,"gbif",NA,"1304286472"
"Helianthus paradoxus",-104.6792,34.9267,"gbif",NA,"1304286477"
"Helianthus paradoxus",-107.8307,35.1329,"gbif",NA,"1304286478"
"Helianthus paradoxus",-102.9224,31.0095,"gbif",NA,"1304286479"
"Helianthus paradoxus",-106.8631,34.3514,"gbif",NA,"1304286482"
"Helianthus paradoxus",-104.4,33.45,"gbif",NA,"1304286483"
"Helianthus paradoxus",-104.3973,33.4308,"gbif",NA,"1304286484"
"Helianthus paradoxus",-104.6648,34.9259,"gbif",NA,"1304286494"
"Helianthus paradoxus",-107.83,35.16,"gbif",NA,"1304286499"
"Helianthus paradoxus",-104.6792,34.9357,"gbif",NA,"1304286504"
"Helianthus paradoxus",-102.866667,30.866667,"gbif",NA,"1304665574"
"Helianthus paradoxus",-102.866667,30.883333,"gbif",NA,"1304665596"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304665599"
"Helianthus paradoxus",-104.366667,33.183333,"gbif",NA,"1304665615"
"Helianthus paradoxus",-102.983333,30.883333,"gbif",NA,"1304665623"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304665628"
"Helianthus paradoxus",-102.983333,30.883333,"gbif",NA,"1304665630"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304665636"
"Helianthus paradoxus",-103.483333,31.416667,"gbif",NA,"1304665641"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304665672"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304755987"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304755991"
"Helianthus paradoxus",-104.366667,33.183333,"gbif",NA,"1304755992"
"Helianthus paradoxus",-102.866667,30.883333,"gbif",NA,"1304756008"
"Helianthus paradoxus",-103.483333,31.416667,"gbif",NA,"1304756009"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304756010"
"Helianthus paradoxus",-102.866667,30.866667,"gbif",NA,"1304756021"
"Helianthus paradoxus",-102.983333,30.883333,"gbif",NA,"1304756040"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"1304756053"
"Helianthus paradoxus",-102.983333,30.883333,"gbif",NA,"1304756055"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"40899669"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"40899733"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"40899734"
"Helianthus paradoxus",-102.75,30.75,"gbif",NA,"40899735"
"Helianthus paradoxus",-102.86667,30.86667,"gbif",NA,"40899736"
"Helianthus paradoxus",-103.48333,31.41667,"gbif",NA,"40899737"
