"name","longitude","latitude","prov","date","key"
"Helianthus pauciflorus",-113.708916,50.806945,"gbif",2020-05-18,"2626681180"
"Helianthus pauciflorus",-92.778889,44.995707,"gbif",2019-05-17,"2244229762"
"Helianthus pauciflorus",-114.31712,51.141391,"gbif",2019-06-03,"2252043709"
"Helianthus pauciflorus",-88.48666,41.818498,"gbif",2019-06-30,"2283101721"
"Helianthus pauciflorus",-89.393587,43.182882,"gbif",2019-07-11,"2294480343"
"Helianthus pauciflorus",-104.809662,49.256312,"gbif",2019-07-29,"2311388265"
"Helianthus pauciflorus",-104.811661,49.255116,"gbif",2019-07-29,"2311391441"
"Helianthus pauciflorus",-91.5365,44.062972,"gbif",2019-07-29,"2311392109"
"Helianthus pauciflorus",-104.811661,49.255116,"gbif",2019-07-29,"2311394088"
"Helianthus pauciflorus",-104.810516,49.257992,"gbif",2019-07-29,"2311394248"
"Helianthus pauciflorus",-114.39508,51.167993,"gbif",2019-07-31,"2366072894"
"Helianthus pauciflorus",-115.093976,51.077862,"gbif",2019-07-31,"2397509599"
"Helianthus pauciflorus",-88.414441,42.363284,"gbif",2019-07-26,"2557642739"
"Helianthus pauciflorus",-99.241334,47.1282,"gbif",2019-07-29,"2625242388"
"Helianthus pauciflorus",-89.39866,43.178764,"gbif",2019-08-06,"2331932277"
"Helianthus pauciflorus",13.051587,55.595952,"gbif",2019-08-10,"2336760042"
"Helianthus pauciflorus",13.051632,55.595881,"gbif",2019-08-11,"2336780885"
"Helianthus pauciflorus",13.019571,55.55315,"gbif",2019-08-11,"2336787820"
"Helianthus pauciflorus",15.694655,58.238412,"gbif",2019-08-13,"2336826846"
"Helianthus pauciflorus",-89.672213,43.123435,"gbif",2019-08-06,"2350329050"
"Helianthus pauciflorus",-89.027722,43.823389,"gbif",2019-08-11,"2350385917"
"Helianthus pauciflorus",-89.803516,42.960325,"gbif",2019-08-09,"2350390028"
"Helianthus pauciflorus",-108.759818,49.613757,"gbif",2019-08-14,"2350444255"
"Helianthus pauciflorus",-89.594022,48.353557,"gbif",2019-08-15,"2366044549"
"Helianthus pauciflorus",-89.543231,48.244604,"gbif",2019-08-15,"2366045595"
"Helianthus pauciflorus",-89.815091,43.189524,"gbif",2019-08-17,"2366118325"
"Helianthus pauciflorus",-89.773798,43.138257,"gbif",2019-08-17,"2366127700"
"Helianthus pauciflorus",13.051506,55.595505,"gbif",2019-08-27,"2381551694"
"Helianthus pauciflorus",16.381588,56.452098,"gbif",2019-08-31,"2382995210"
"Helianthus pauciflorus",14.764189,56.816343,"gbif",2019-08-31,"2383018266"
"Helianthus pauciflorus",-114.04805,51.057403,"gbif",2019-08-22,"2397515495"
"Helianthus pauciflorus",-89.773217,43.138131,"gbif",2019-08-24,"2397544236"
"Helianthus pauciflorus",-89.773493,43.139074,"gbif",2019-08-08,"2397596274"
"Helianthus pauciflorus",-95.100285,43.780918,"gbif",2019-08-28,"2397609085"
"Helianthus pauciflorus",-114.230033,51.10832,"gbif",2019-08-18,"2423075318"
"Helianthus pauciflorus",-88.101277,40.686494,"gbif",2019-08-01,"2529305114"
"Helianthus pauciflorus",-88.61344,40.746605,"gbif",2019-08-02,"2540734622"
"Helianthus pauciflorus",-105.263433,39.885148,"gbif",2019-08-27,"2595834063"
"Helianthus pauciflorus",16.381013,56.452897,"gbif",2019-09-01,"2382999593"
"Helianthus pauciflorus",10.470997,59.423774,"gbif",2019-09-07,"2390372172"
"Helianthus pauciflorus",17.05033,58.747608,"gbif",2019-09-07,"2413069602"
"Helianthus pauciflorus",17.791026,59.854555,"gbif",2019-09-13,"2417831665"
"Helianthus pauciflorus",13.388446,55.703359,"gbif",2019-09-15,"2417841935"
