"name","longitude","latitude","prov","date","key"
"Helianthus petiolaris",-116.320633,33.300895,"gbif",2020-01-07,"2557749422"
"Helianthus petiolaris",-116.320587,33.300918,"gbif",2020-01-07,"2557753061"
"Helianthus petiolaris",-116.238695,33.328491,"gbif",2020-02-12,"2573987962"
"Helianthus petiolaris",-116.238583,33.328285,"gbif",2020-02-12,"2574161030"
"Helianthus petiolaris",-116.232192,33.303414,"gbif",2020-02-15,"2574297783"
"Helianthus petiolaris",-116.277069,33.710324,"gbif",2020-02-25,"2576272309"
"Helianthus petiolaris",-116.293544,33.25694,"gbif",2020-02-27,"2576283546"
"Helianthus petiolaris",-116.358957,33.330989,"gbif",2020-03-02,"2576450043"
"Helianthus petiolaris",-116.366813,33.336963,"gbif",2020-03-08,"2579219394"
"Helianthus petiolaris",-116.282995,33.255462,"gbif",2020-03-10,"2579234353"
"Helianthus petiolaris",-116.328603,33.3097,"gbif",2020-03-10,"2579323459"
"Helianthus petiolaris",-116.288402,33.261057,"gbif",2020-03-10,"2579324494"
"Helianthus petiolaris",-116.286555,33.259125,"gbif",2020-03-10,"2579367495"
"Helianthus petiolaris",-116.283059,33.256212,"gbif",2020-03-10,"2579375455"
"Helianthus petiolaris",-116.395922,33.360647,"gbif",2020-03-14,"2580137854"
"Helianthus petiolaris",-116.286763,33.253962,"gbif",2020-03-13,"2580229387"
"Helianthus petiolaris",-116.364936,33.334248,"gbif",2020-03-20,"2596098206"
"Helianthus petiolaris",-116.364738,33.333497,"gbif",2020-03-17,"2596105134"
"Helianthus petiolaris",-109.934847,27.385407,"gbif",2020-04-03,"2597874123"
"Helianthus petiolaris",-116.320593,33.300925,"gbif",2020-04-11,"2603416481"
"Helianthus petiolaris",-98.678352,27.306706,"gbif",2020-04-16,"2609108464"
"Helianthus petiolaris",-116.295662,33.247873,"gbif",2020-04-22,"2609175206"
"Helianthus petiolaris",-116.29565,33.247904,"gbif",2020-04-21,"2609323639"
"Helianthus petiolaris",-100.571251,25.799422,"gbif",2020-04-24,"2611190260"
"Helianthus petiolaris",-97.181461,30.077081,"gbif",2020-04-24,"2611379047"
"Helianthus petiolaris",-106.053618,28.614111,"gbif",2020-04-27,"2626111829"
"Helianthus petiolaris",-98.553255,29.608993,"gbif",2020-04-24,"2626117642"
"Helianthus petiolaris",-97.212752,30.116293,"gbif",2020-05-15,"2626430225"
"Helianthus petiolaris",-116.339444,33.318056,"gbif",2019-01-15,"1990528903"
"Helianthus petiolaris",-116.223889,33.316667,"gbif",2019-01-19,"1990557562"
"Helianthus petiolaris",-116.223611,33.316667,"gbif",2019-01-19,"1990557597"
"Helianthus petiolaris",-116.2275,33.314722,"gbif",2019-01-19,"1990557610"
"Helianthus petiolaris",-116.223743,33.316692,"gbif",2019-01-19,"1990557642"
"Helianthus petiolaris",-116.223889,33.316667,"gbif",2019-01-19,"1990557643"
"Helianthus petiolaris",-116.223611,33.316944,"gbif",2019-01-19,"1990557693"
"Helianthus petiolaris",-116.293202,33.253176,"gbif",2019-01-30,"1993718295"
"Helianthus petiolaris",-116.293607,33.257309,"gbif",2019-01-30,"1993718301"
"Helianthus petiolaris",-116.210749,33.305659,"gbif",2019-02-07,"1993773796"
"Helianthus petiolaris",-116.293265,33.257284,"gbif",2019-02-09,"2005299074"
"Helianthus petiolaris",-116.293163,33.256598,"gbif",2019-02-09,"2005299118"
"Helianthus petiolaris",-116.20945,33.304612,"gbif",2019-02-09,"2005301526"
"Helianthus petiolaris",-116.36487,33.334942,"gbif",2019-02-13,"2005341035"
"Helianthus petiolaris",-116.214722,33.297222,"gbif",2019-02-15,"2005348389"
"Helianthus petiolaris",-116.205,33.296667,"gbif",2019-02-15,"2005348398"
"Helianthus petiolaris",-116.361565,33.326946,"gbif",2019-02-24,"2006078551"
"Helianthus petiolaris",-116.211604,33.306291,"gbif",2019-02-24,"2006080624"
