"name","longitude","latitude","prov","date","key"
"Helianthus porteri",-84.117994,33.665008,"gbif",2019-04-29,"2626153434"
"Helianthus porteri",-84.116712,33.671861,"gbif",2019-04-28,"2626365451"
"Helianthus porteri",-84.14649,33.806059,"gbif",2019-08-04,"2331901124"
"Helianthus porteri",-84.147227,33.805967,"gbif",2019-08-04,"2331901227"
"Helianthus porteri",-85.645754,33.282081,"gbif",2018-09-22,"1914210890"
"Helianthus porteri",-85.645676,33.281687,"gbif",2018-09-22,"1914218617"
"Helianthus porteri",-85.644707,33.281223,"gbif",2018-09-22,"1914227866"
"Helianthus porteri",-85.644707,33.281223,"gbif",2018-09-22,"1914227879"
"Helianthus porteri",-85.644707,33.281223,"gbif",2018-09-22,"1914227903"
"Helianthus porteri",-84.16214,33.666721,"gbif",2018-09-26,"2366010812"
"Helianthus porteri",-84.152343,33.809302,"gbif",2018-09-25,"2366016691"
"Helianthus porteri",-85.644445,33.282222,"gbif",2018-09-22,"2445098363"
"Helianthus porteri",-85.151834,33.243324,"gbif",2018-10-12,"2366011010"
"Helianthus porteri",-84.112365,33.668456,"gbif",2017-04-09,"2626108330"
"Helianthus porteri",-84.14197,33.806752,"gbif",2017-08-23,"2619910316"
"Helianthus porteri",-86.758196,33.325006,"gbif",2017-09-05,"2366160451"
"Helianthus porteri",-84.117508,33.664917,"gbif",2017-10-01,"1668887146"
"Helianthus porteri",-81.120647,35.963745,"gbif",2015-09-22,"2366012093"
"Helianthus porteri",-81.120742,35.962394,"gbif",2012-09-25,"1668793470"
"Helianthus porteri",-84.122833,33.660167,"gbif",2012-11-10,"891105739"
"Helianthus porteri",-78.387707,35.915844,"gbif",2005-09-29,"2234572831"
"Helianthus porteri",-81.1185,35.9637,"gbif",2003-01-01,"1300487741"
"Helianthus porteri",-84.0932,33.7085,"gbif",2003-01-01,"1300487758"
"Helianthus porteri",-83.8326,33.7516,"gbif",2003-01-01,"1300487766"
"Helianthus porteri",-83.9794,33.7015,"gbif",2003-01-01,"1300487769"
"Helianthus porteri",-84.4649,33.1474,"gbif",2003-01-01,"1300487779"
"Helianthus porteri",-84.6596,32.9874,"gbif",2003-01-01,"1300487783"
"Helianthus porteri",-84.0932,33.7085,"gbif",2003-01-01,"1300487814"
"Helianthus porteri",-76.9078,39.0347,"gbif",1996-10-05,"1322384563"
"Helianthus porteri",-85.4,32.88,"gbif",1988-10-01,"56685746"
"Helianthus porteri",-85.47,33.3,"gbif",1983-10-01,"56685743"
