"name","longitude","latitude","prov","date","key"
"Helianthus pumilus",-105.204956,39.712964,"gbif",2019-06-30,"2595834555"
"Helianthus pumilus",-104.96423,39.21144,"gbif",2019-07-25,"2451559166"
"Helianthus pumilus",-104.95855,39.23249,"gbif",2019-07-08,"2451559497"
"Helianthus pumilus",-104.961468,39.732207,"gbif",2019-08-30,"2632264305"
"Helianthus pumilus",-105.299897,40.116189,"gbif",2018-06-18,"1883464088"
"Helianthus pumilus",-104.735631,39.406,"gbif",2018-06-09,"2242359197"
"Helianthus pumilus",-104.733686,39.407996,"gbif",2018-08-03,"2242359577"
"Helianthus pumilus",-105.2326,39.7686,"gbif",2017-07-14,"2242357130"
"Helianthus pumilus",-105.2664,39.8854,"gbif",2017-07-28,"2242357302"
"Helianthus pumilus",-105.310028,40.691963,"gbif",2017-09-09,"1703166895"
"Helianthus pumilus",-105.216349,39.735422,"gbif",2016-06-15,"2270220863"
"Helianthus pumilus",-105.216932,39.768064,"gbif",2016-08-05,"2242354837"
"Helianthus pumilus",-105.216932,39.768064,"gbif",2016-08-05,"2573561102"
"Helianthus pumilus",-105.075827,39.456838,"gbif",2015-07-13,"2242420556"
"Helianthus pumilus",-105.214202,39.790481,"gbif",2015-07-13,"2242423009"
"Helianthus pumilus",-105.228241,39.738995,"gbif",2015-07-12,"2242423010"
"Helianthus pumilus",-105.21419,39.7905,"gbif",2015-07-13,"2422514762"
"Helianthus pumilus",-105.22819,39.73889,"gbif",2015-07-12,"2422514878"
"Helianthus pumilus",-105.069313,39.43435,"gbif",2015-07-04,"2563434358"
"Helianthus pumilus",-105.091038,39.513788,"gbif",2014-06-10,"2242419070"
"Helianthus pumilus",-105.163873,40.054761,"gbif",2014-07-14,"2573436769"
"Helianthus pumilus",-105.0793,39.5605,"gbif",2014-08-20,"2242422017"
"Helianthus pumilus",-107.909782,39.59935,"gbif",2013-08-01,"2545494999"
"Helianthus pumilus",-104.93433,39.45218,"gbif",2012-06-04,"2242389466"
"Helianthus pumilus",-104.92622,39.46236,"gbif",2012-07-09,"2242389535"
"Helianthus pumilus",-105.008631,40.989288,"gbif",2010-06-29,"2242388012"
"Helianthus pumilus",-105.00863,40.98929,"gbif",2010-06-29,"2573326368"
"Helianthus pumilus",-105.164127,40.958508,"gbif",2010-07-20,"2242388449"
"Helianthus pumilus",-105.62402,42.4073,"gbif",2010-07-02,"415729111"
"Helianthus pumilus",-104.9619,39.73193,"gbif",2008-06-20,"2242394526"
"Helianthus pumilus",-105.849932,38.293518,"gbif",2006-06-21,"1302793137"
"Helianthus pumilus",-105.849932,38.293519,"gbif",2006-06-21,"2242380249"
"Helianthus pumilus",-105.849932,38.293519,"gbif",2006-06-21,"2573326797"
"Helianthus pumilus",-105.32921,38.39923,"gbif",2004-07-10,"2573326976"
"Helianthus pumilus",-105.51333,39.76,"gbif",2003-07-11,"1259158839"
"Helianthus pumilus",-105.51333,39.76,"gbif",2003-07-11,"1259158840"
"Helianthus pumilus",-105.51333,39.76,"gbif",2003-07-11,"2573326344"
"Helianthus pumilus",-105.34833,40.17666,"gbif",2002-06-14,"1259715105"
"Helianthus pumilus",-105.371162,40.1711,"gbif",2002-06-14,"1929642980"
"Helianthus pumilus",-105.29573,40.70143,"gbif",2001-06-11,"2573326501"
"Helianthus pumilus",-105.4701,40.677,"gbif",2001-07-29,"1930469154"
"Helianthus pumilus",-105.00166,39.405,"gbif",2000-06-05,"1258978390"
"Helianthus pumilus",-105.0011,39.4031,"gbif",2000-06-05,"1928911111"
"Helianthus pumilus",-105.96666,41.28333,"gbif",2000-07-18,"1258969299"
"Helianthus pumilus",-106.9697,41.2969,"gbif",2000-07-18,"1929742613"
"Helianthus pumilus",-105.13333,40.55,"gbif",1999-06-15,"1258969891"
"Helianthus pumilus",-105.2,40.61666,"gbif",1999-06-22,"1258972091"
"Helianthus pumilus",-105.228932,40.626357,"gbif",1999-06-22,"1928860522"
"Helianthus pumilus",-105.179839,40.585221,"gbif",1999-06-15,"1930310417"
"Helianthus pumilus",-105.2,39.65,"gbif",1999-07-09,"1258972216"
"Helianthus pumilus",-105.2,39.65,"gbif",1999-07-09,"1258972805"
"Helianthus pumilus",-104.88333,39.08333,"gbif",1999-07-13,"1258973383"
"Helianthus pumilus",-105.26666,40.81666,"gbif",1999-07-23,"1258975219"
"Helianthus pumilus",-105.205822,39.665543,"gbif",1999-07-09,"1930082739"
"Helianthus pumilus",-104.966145,39.091621,"gbif",1999-07-13,"1930521447"
"Helianthus pumilus",-105.205822,39.665543,"gbif",1999-07-09,"1930546014"
"Helianthus pumilus",-105.41666,40.66666,"gbif",1999-08-13,"1258969969"
"Helianthus pumilus",-105.26666,40.91666,"gbif",1999-08-09,"1258970876"
"Helianthus pumilus",-104.8344,41.2183,"gbif",1999-08-03,"1930340241"
"Helianthus pumilus",-105.36223,38.20695,"gbif",1998-06-25,"2573327113"
"Helianthus pumilus",-105.27137,39.89507,"gbif",1998-07-07,"2573326398"
"Helianthus pumilus",-106.4113,42.715,"gbif",1997-06-22,"1930655592"
"Helianthus pumilus",-106.4132,42.7152,"gbif",1997-06-22,"2573360721"
"Helianthus pumilus",-105.573159,38.166953,"gbif",1997-07-12,"2573325838"
"Helianthus pumilus",-105.243495,41.075801,"gbif",1997-08-20,"1928372575"
"Helianthus pumilus",-105.3,40.883333,"gbif",1995-07-26,"1304586617"
"Helianthus pumilus",-105.3,40.88,"gbif",1995-07-26,"1928374654"
"Helianthus pumilus",-105.068923,39.428793,"gbif",1995-10-07,"2242419111"
"Helianthus pumilus",-105.269495,39.964209,"gbif",1993-07-23,"2573323862"
"Helianthus pumilus",-105.358433,39.858123,"gbif",1993-08-15,"1302793109"
"Helianthus pumilus",-105.358433,39.858124,"gbif",1993-08-15,"2242366158"
"Helianthus pumilus",-105.15441,39.58862,"gbif",1992-06-24,"2573326032"
"Helianthus pumilus",-105.156441,39.600366,"gbif",1992-07-01,"2573323776"
"Helianthus pumilus",-105.186514,40.53209,"gbif",1991-06-23,"2270193963"
"Helianthus pumilus",-105.317989,39.950482,"gbif",1991-07-04,"2573323718"
"Helianthus pumilus",-104.91667,39.46667,"gbif",1991-09-10,"1563498872"
"Helianthus pumilus",-104.408056,42.908056,"gbif",1990-07-07,"1987011032"
"Helianthus pumilus",-105.576851,40.367526,"gbif",1989-06-28,"1302793157"
"Helianthus pumilus",-105.576851,40.367526,"gbif",1989-06-28,"2242379297"
"Helianthus pumilus",-104.83333,41.13333,"gbif",1987-09-01,"1563583990"
"Helianthus pumilus",-104.833333,41.133333,"gbif",1987-01-01,"1300484317"
