"name","longitude","latitude","prov","date","key"
"Helianthus radula",-87.813812,30.48702,"gbif",2020-02-11,"2573864689"
"Helianthus radula",-88.934831,30.595525,"gbif",2020-03-10,"2579235388"
"Helianthus radula",-87.074761,30.482572,"gbif",2020-03-07,"2579369148"
"Helianthus radula",-88.655297,30.4516,"gbif",2020-04-12,"2603322422"
"Helianthus radula",-82.294849,29.631352,"gbif",2020-04-24,"2611006138"
"Helianthus radula",-82.290881,29.511919,"gbif",2020-04-27,"2611411471"
"Helianthus radula",-88.634736,30.404978,"gbif",2019-01-12,"1990483707"
"Helianthus radula",-86.807249,30.721332,"gbif",2019-03-30,"2236836210"
"Helianthus radula",-81.963456,30.787778,"gbif",2019-04-03,"2235555373"
"Helianthus radula",-86.228278,30.610584,"gbif",2019-04-14,"2236876974"
"Helianthus radula",-88.945747,30.601342,"gbif",2019-04-27,"2238860090"
"Helianthus radula",-88.945183,30.600229,"gbif",2019-04-27,"2238878761"
"Helianthus radula",-85.040257,30.092867,"gbif",2019-06-01,"2252007149"
"Helianthus radula",-82.563054,29.117589,"gbif",2019-07-13,"2366025841"
"Helianthus radula",-81.105994,28.483242,"gbif",2019-08-04,"2331909273"
"Helianthus radula",-81.864075,30.199236,"gbif",2019-08-21,"2397531780"
"Helianthus radula",-81.958937,28.348421,"gbif",2019-09-09,"2422993146"
"Helianthus radula",-81.913506,30.117261,"gbif",2019-09-10,"2423032502"
"Helianthus radula",-81.622883,27.665634,"gbif",2019-09-13,"2423056521"
"Helianthus radula",-88.201072,30.661062,"gbif",2019-09-18,"2423134847"
"Helianthus radula",-89.003387,30.861927,"gbif",2019-09-19,"2423148874"
"Helianthus radula",-88.944131,30.601922,"gbif",2019-09-20,"2423178045"
"Helianthus radula",-82.053973,28.27712,"gbif",2019-09-24,"2423230977"
"Helianthus radula",-86.556953,31.157185,"gbif",2019-09-25,"2423239379"
"Helianthus radula",-82.560634,28.616912,"gbif",2019-09-18,"2429274102"
"Helianthus radula",-80.979547,28.503479,"gbif",2019-09-28,"2429291491"
"Helianthus radula",-84.3759,30.3627,"gbif",2019-09-24,"2452275902"
"Helianthus radula",-82.278835,29.652466,"gbif",2019-10-05,"2429389893"
"Helianthus radula",-88.089162,30.246368,"gbif",2019-10-05,"2429390152"
"Helianthus radula",-88.654433,30.452099,"gbif",2019-10-05,"2429390854"
"Helianthus radula",-82.277301,29.652952,"gbif",2019-10-05,"2429393694"
"Helianthus radula",-88.660454,30.454302,"gbif",2019-10-05,"2429457096"
"Helianthus radula",-81.111119,28.490506,"gbif",2019-10-08,"2429546258"
"Helianthus radula",-81.104844,28.488556,"gbif",2019-10-13,"2429578553"
"Helianthus radula",-81.105934,28.488882,"gbif",2019-10-13,"2429580569"
"Helianthus radula",-88.654808,30.452228,"gbif",2019-10-14,"2429593553"
"Helianthus radula",-88.655087,30.45222,"gbif",2019-10-05,"2429617427"
"Helianthus radula",-90.472504,30.672976,"gbif",2019-10-02,"2517958152"
"Helianthus radula",-90.177162,30.522245,"gbif",2019-10-27,"2518042079"
"Helianthus radula",-80.979368,28.503,"gbif",2019-11-10,"2456548137"
"Helianthus radula",-88.654423,30.452123,"gbif",2019-11-09,"2460101691"
"Helianthus radula",-88.652818,30.452748,"gbif",2019-11-30,"2542963237"
"Helianthus radula",-81.74072,28.447235,"gbif",2019-12-07,"2517986161"
"Helianthus radula",-90.163505,30.509345,"gbif",2019-12-08,"2518139156"
"Helianthus radula",-89.049755,30.83315,"gbif",2018-03-24,"1837079207"
"Helianthus radula",-88.973,31.508619,"gbif",2018-05-18,"1847551242"
"Helianthus radula",-82.61698,29.277312,"gbif",2018-07-31,"1890087148"
