"name","longitude","latitude","prov","date","key"
"Helianthus salicifolius",-93.325615,37.170556,"gbif",2019-06-22,"2626410509"
"Helianthus salicifolius",-94.714932,38.832291,"gbif",2019-07-12,"2626160459"
"Helianthus salicifolius",-94.614252,38.897347,"gbif",2019-07-16,"2626220394"
"Helianthus salicifolius",13.018583,55.549095,"gbif",2019-08-11,"2336772006"
"Helianthus salicifolius",-97.024619,32.428771,"gbif",2019-09-21,"2429414597"
"Helianthus salicifolius",-95.388527,37.904755,"gbif",2019-09-10,"2626226412"
"Helianthus salicifolius",13.01861,55.549065,"gbif",2019-10-07,"2425948991"
"Helianthus salicifolius",13.018816,55.549222,"gbif",2019-10-06,"2425986797"
"Helianthus salicifolius",13.018619,55.549075,"gbif",2019-10-06,"2426083784"
"Helianthus salicifolius",13.01861,55.549075,"gbif",2018-08-05,"1995230382"
"Helianthus salicifolius",-97.467018,33.71199,"gbif",2018-09-15,"1913679421"
"Helianthus salicifolius",-97.024584,32.428866,"gbif",2018-10-16,"1931523487"
"Helianthus salicifolius",8.657827,50.126633,"gbif",2018-10-13,"1932367819"
"Helianthus salicifolius",13.01861,55.54907,"gbif",2018-10-09,"1995101312"
"Helianthus salicifolius",14.093076,56.035204,"gbif",2018-10-13,"1995138562"
"Helianthus salicifolius",13.018646,55.549075,"gbif",2017-01-03,"1433790870"
"Helianthus salicifolius",13.018655,55.549019,"gbif",2017-01-07,"1433861407"
"Helianthus salicifolius",13.54054,58.152692,"gbif",2017-08-19,"1670582470"
"Helianthus salicifolius",13.018619,55.549075,"gbif",2017-11-04,"1806932132"
"Helianthus salicifolius",13.018619,55.549075,"gbif",2016-08-06,"1432296421"
"Helianthus salicifolius",13.018673,55.549029,"gbif",2016-08-21,"1432495209"
"Helianthus salicifolius",13.018682,55.549029,"gbif",2016-08-28,"1432549014"
"Helianthus salicifolius",13.022913,55.549934,"gbif",2016-08-19,"1891192894"
"Helianthus salicifolius",13.018664,55.549085,"gbif",2016-09-10,"1432875686"
"Helianthus salicifolius",13.022904,55.549934,"gbif",2016-09-25,"1432878031"
"Helianthus salicifolius",13.018646,55.549121,"gbif",2016-09-25,"1432975570"
"Helianthus salicifolius",13.018646,55.549121,"gbif",2016-09-25,"1433879516"
"Helianthus salicifolius",12.94397,55.54885,"gbif",2016-09-25,"1563136507"
