"name","longitude","latitude","prov","date","key"
"Helianthus schweinitzii",-80.798384,34.938812,"gbif",2019-12-19,"2540772212"
"Helianthus schweinitzii",-80.706403,34.842895,"gbif",2018-08-24,"1901034106"
"Helianthus schweinitzii",-79.810419,35.351041,"gbif",2016-10-30,"1453218212"
"Helianthus schweinitzii",-79.911646,35.278271,"gbif",2016-10-02,"1500220062"
"Helianthus schweinitzii",-80.1488,35.3952,"gbif",2003-01-01,"1300487730"
"Helianthus schweinitzii",-81.07269,35.016264,"gbif",2003-01-01,"1300487737"
"Helianthus schweinitzii",-81.0111,34.8979,"gbif",2003-01-01,"1300487742"
"Helianthus schweinitzii",-80.7689,34.9731,"gbif",2003-01-01,"1300487748"
"Helianthus schweinitzii",-80.2017,34.8844,"gbif",2003-01-01,"1300487749"
"Helianthus schweinitzii",-81.013,35.1432,"gbif",2003-01-01,"1300487750"
"Helianthus schweinitzii",-79.8976,35.7518,"gbif",2003-01-01,"1300487754"
"Helianthus schweinitzii",-81.0253,34.9027,"gbif",2003-01-01,"1300487756"
"Helianthus schweinitzii",-80.8651,35.205,"gbif",2003-01-01,"1300487757"
"Helianthus schweinitzii",-81.0727,35.1626,"gbif",2003-01-01,"1300487762"
"Helianthus schweinitzii",-80.885,35.3609,"gbif",2003-01-01,"1300487765"
"Helianthus schweinitzii",-79.9555,35.3091,"gbif",2003-01-01,"1300487770"
"Helianthus schweinitzii",-80.9837,35.336,"gbif",2003-01-01,"1300487771"
"Helianthus schweinitzii",-80.4843,35.3538,"gbif",2003-01-01,"1300487781"
"Helianthus schweinitzii",-80.6937,34.9347,"gbif",2003-01-01,"1300487782"
"Helianthus schweinitzii",-78.816667,34.316667,"gbif",NA,"1304691993"
"Helianthus schweinitzii",-83.666667,35.283333,"gbif",NA,"1304692025"
"Helianthus schweinitzii",-83.666667,35.283333,"gbif",NA,"1304775612"
"Helianthus schweinitzii",-78.816667,34.316667,"gbif",NA,"1304775629"
"Helianthus schweinitzii",-83.66667,35.28333,"gbif",NA,"40899907"
"Helianthus schweinitzii",-80.55287,35.387844,"bison",NA,"2070744961"
"Helianthus schweinitzii",-80.83383,35.24686,"bison",NA,"2070665035"
"Helianthus schweinitzii",-81.01403,34.89284,"bison",2003-08-14,"2070550620"
"Helianthus schweinitzii",-78.636375,34.26047,"bison",NA,"2071614306"
"Helianthus schweinitzii",NA,NA,"bison",NA,"1304399378"
"Helianthus schweinitzii",NA,NA,"bison",NA,"1304399382"
"Helianthus schweinitzii",NA,NA,"bison",NA,"1304399414"
"Helianthus schweinitzii",NA,NA,"bison",NA,"1304399427"
"Helianthus schweinitzii",NA,NA,"bison",NA,"1304213716"
"Helianthus schweinitzii",NA,NA,"bison",1992-09-26,"1845614327"
"Helianthus schweinitzii",NA,NA,"bison",2003-01-01,"1849194316"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849110320"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849122740"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849124250"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849130651"
"Helianthus schweinitzii",NA,NA,"bison",1983-01-01,"1849140210"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849142147"
"Helianthus schweinitzii",NA,NA,"bison",2000-01-01,"1849148653"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849154060"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849158387"
"Helianthus schweinitzii",NA,NA,"bison",1983-01-01,"1849163117"
"Helianthus schweinitzii",NA,NA,"bison",1986-01-01,"1849164773"
