"name","longitude","latitude","prov","date","key"
"Helianthus silphioides",-87.213195,35.087611,"gbif",2020-05-11,"2626589383"
"Helianthus silphioides",-88.659754,35.363794,"gbif",2019-08-29,"2397622919"
"Helianthus silphioides",-91.145329,36.8977,"gbif",2019-08-25,"2542923835"
"Helianthus silphioides",-91.441727,36.219418,"gbif",2019-09-14,"2423069996"
"Helianthus silphioides",-91.441967,36.218792,"gbif",2019-09-14,"2423070797"
"Helianthus silphioides",-90.3156,36.85098,"gbif",2019-09-07,"2425457195"
"Helianthus silphioides",-87.214142,35.088753,"gbif",2019-09-04,"2517955532"
"Helianthus silphioides",-87.208787,35.1213,"gbif",2019-09-04,"2517955558"
"Helianthus silphioides",-91.443382,36.208047,"gbif",2019-09-14,"2517956438"
"Helianthus silphioides",-93.314201,35.504483,"gbif",2016-07-24,"2563482288"
"Helianthus silphioides",-92.515074,31.639139,"gbif",2012-09-16,"1269728614"
"Helianthus silphioides",-92.515074,31.639139,"gbif",2012-09-16,"1269728677"
"Helianthus silphioides",-92.515074,31.639139,"gbif",2012-09-16,"1269728687"
"Helianthus silphioides",-90.08277,37.25152,"gbif",2011-09-26,"1257855463"
"Helianthus silphioides",-90.314511,36.897528,"gbif",2010-09-25,"1257669607"
"Helianthus silphioides",-92.71029,36.01958,"gbif",2010-09-27,"930742825"
"Helianthus silphioides",-91.3056,37.5647,"gbif",2008-09-05,"1257684749"
"Helianthus silphioides",-92.857,36.05547,"gbif",2007-09-02,"930742478"
"Helianthus silphioides",-92.71658,36.00651,"gbif",2007-09-23,"930742521"
"Helianthus silphioides",-92.946,30.536,"gbif",2006-09-15,"1269720532"
"Helianthus silphioides",-92.946,30.536,"gbif",2006-09-15,"1269720550"
"Helianthus silphioides",-92.946,30.536,"gbif",2006-09-15,"1269720554"
"Helianthus silphioides",-92.946,30.536,"gbif",2006-09-15,"1269720560"
"Helianthus silphioides",-92.946,30.536,"gbif",2006-09-15,"1269720563"
"Helianthus silphioides",-92.946,30.536,"gbif",2006-09-15,"1269720574"
"Helianthus silphioides",-87.4825,33.66972,"gbif",1999-06-08,"56585741"
"Helianthus silphioides",-90.11666,37.25,"gbif",1999-09-11,"1258612422"
"Helianthus silphioides",-94.112503,34.736668,"gbif",1999-09-05,"177030165"
"Helianthus silphioides",-90.323333,36.903611,"gbif",1995-10-10,"1257874847"
"Helianthus silphioides",-90.27833,36.89416,"gbif",1994-09-17,"1260990940"
"Helianthus silphioides",-91.70361,36.70222,"gbif",1993-09-09,"1260978659"
"Helianthus silphioides",-90.57888,36.93388,"gbif",1992-09-30,"1261003691"
"Helianthus silphioides",-89.905,36.85333,"gbif",1991-09-15,"1261003566"
"Helianthus silphioides",-91.05,36.9,"gbif",1989-09-15,"1261297827"
"Helianthus silphioides",-86.770392,33.159524,"gbif",1979-10-03,"415729112"
"Helianthus silphioides",-89.912472,36.847833,"gbif",1975-10-08,"1258145666"
"Helianthus silphioides",-85.555,33.88639,"gbif",1970-08-28,"56585570"
"Helianthus silphioides",-94.95613,34.55438,"gbif",1968-08-18,"1981529616"
"Helianthus silphioides",-90.55,36.12,"gbif",1949-09-18,"239701216"
"Helianthus silphioides",-90.65,35.82,"gbif",1948-09-18,"239701217"
"Helianthus silphioides",-94.485,36.54555,"gbif",1931-10-07,"1260951052"
"Helianthus silphioides",-92.28638,36.58666,"gbif",1927-10-08,"1260958406"
"Helianthus silphioides",-90.549444,36.971111,"gbif",1920-10-09,"1260957455"
"Helianthus silphioides",-90.549444,36.971111,"gbif",1920-10-09,"1260987138"
"Helianthus silphioides",-90.82888,36.73777,"gbif",1899-08-13,"1260927704"
"Helianthus silphioides",-85.46667,32.6,"gbif",1896-10-03,"56585567"
"Helianthus silphioides",-90.075,36.49333,"gbif",1893-09-12,"1260929535"
"Helianthus silphioides",-89.176461,37.005329,"gbif",1874-09-09,"1928234177"
"Helianthus silphioides",-92.439509,34.899163,"gbif",NA,"1057045407"
"Helianthus silphioides",-91.03,36.898056,"gbif",NA,"1304696890"
"Helianthus silphioides",-93.736667,36.088333,"gbif",NA,"1304696907"
"Helianthus silphioides",-93.135,36.241667,"gbif",NA,"1304696913"
"Helianthus silphioides",-92.901944,35.146667,"gbif",NA,"1304696914"
"Helianthus silphioides",-94.783333,34.528889,"gbif",NA,"1304696915"
"Helianthus silphioides",-93.393333,35.055,"gbif",NA,"1304696917"
"Helianthus silphioides",-94.333333,34.683333,"gbif",NA,"1304696930"
"Helianthus silphioides",-93.618889,34.518611,"gbif",NA,"1304696950"
"Helianthus silphioides",-90.550833,36.186389,"gbif",NA,"1304696956"
"Helianthus silphioides",-91.695556,36.663333,"gbif",NA,"1304696960"
"Helianthus silphioides",-93.413333,34.691389,"gbif",NA,"1304696961"
"Helianthus silphioides",-93.831667,35.486667,"gbif",NA,"1304696964"
