Species,longitude,latitude
Helianthus agrestis,-81,28.57
Helianthus agrestis,-81.52,26.43
Helianthus agrestis,-81.79,26.48
Helianthus agrestis,-81.6,26.38
Helianthus agrestis,-82.02,26.85
Helianthus agrestis,-80.71,27.45
Helianthus agrestis,-80.86,28.37
Helianthus agrestis,-80.89,28.49
Helianthus agrestis,-81.44,27
Helianthus agrestis,-82.33,27.12
Helianthus agrestis,-81.67,26.33
Helianthus agrestis,-80.82,28.61
Helianthus agrestis,-80.85,28.59
Helianthus agrestis,-82.75,28.13
Helianthus agrestis,-81.22,28.78
Helianthus agrestis,-82.57,27.48
Helianthus agrestis,-83.17,34.21
Helianthus agrestis,-82.74,27.9
Helianthus agrestis,-82.37,27.48
Helianthus agrestis,-82.17,29.95
Helianthus agrestis,-80.44,27.38
Helianthus agrestis,-81.69,27.95
Helianthus agrestis,-81.15,26.54
Helianthus agrestis,-81.13,28.69
Helianthus agrestis,-81.32,28.51
Helianthus agrestis,-81.19,26.95
Helianthus agrestis,-80.89,27.39
Helianthus agrestis,-81.89,26.55
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-81.44,27
Helianthus agrestis,-80.89,28.49
Helianthus agrestis,-80.86,28.37
Helianthus agrestis,-82.33,27.12
Helianthus agrestis,-83.17,34.21
Helianthus agrestis,-80.71,27.45
Helianthus agrestis,-81.94,26.87
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-81.94,26.87
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-82.37,27.18
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-82.74,27.9
Helianthus agrestis,-81.16,29.06
Helianthus agrestis,-81.67,26.33
Helianthus agrestis,-81.16,29.06
Helianthus agrestis,-81.16,29.06
Helianthus agrestis,-81.16,29.06
Helianthus agrestis,-81.16,29.06
Helianthus agrestis,-80.82,28.61
Helianthus agrestis,-80.85,28.59
Helianthus agrestis,-82.75,28.13
Helianthus agrestis,-81.22,28.78
Helianthus agrestis,-82.57,27.48
Helianthus agrestis,-81.15,26.54
Helianthus agrestis,-81.19,26.95
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-81.19,26.95
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-82.37,27.18
Helianthus agrestis,-82.37,27.18
Helianthus agrestis,-81.15,26.54
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-81.19,26.95
Helianthus agrestis,-82.17,29.95
Helianthus agrestis,-81.19,26.95
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-81.19,26.95
Helianthus agrestis,-81.19,26.95
Helianthus agrestis,-82.17,29.95
Helianthus agrestis,-82.04,29.2
Helianthus agrestis,-81.89,26.55
Helianthus agrestis,-82.74,27.9
Helianthus agrestis,-81.94,26.87
Helianthus agrestis,-81.4,26.12
Helianthus agrestis,-81.16,29.06
Helianthus agrestis,-80.7,28.3
Helianthus agrestis,-82.37,27.18
Helianthus agrestis,-82.25,27.3
Helianthus agrestis,-80.66,28.49
Helianthus agrestis,-80.89,28.49
Helianthus agrestis,-80.66,28.49
Helianthus agrestis,-81.52,30.75
Helianthus agrestis,-80.66,28.49
Helianthus agrestis,-81.52,30.75
Helianthus agrestis,-80.66,28.49
Helianthus agrestis,-82.23,27.3
Helianthus agrestis,-82.48,27.19
Helianthus agrestis,-81.8,26.9
Helianthus agrestis,-80.66,28.49
Helianthus agrestis,-80.86,28.37
