"","name","n"
"1","Coreopsis angustifolia",3
"2","Helianthus agrestis",162
"3","Helianthus angustifolius",3098
"4","Helianthus annuus",41309
"5","Helianthus anomlaus",278
"6","Helianthus arizonensis",56
"7","Helianthus atrorubens",1103
"8","Helianthus bolanderi",1740
"9","Helianthus californicus",1040
"10","Helianthus carnosus",98
"11","Helianthus ciliaris",1430
"12","Helianthus cusickii",817
"13","Helianthus debilis",1632
"14","Helianthus decapetalus",3348
"15","Helianthus deserticola",220
"16","Helianthus divaricatus",4443
"17","Helianthus floridanus",275
"18","Helianthus giganteus",2874
"19","Helianthus glaucus",204
"20","Helianthus gracilentus",3665
"21","Helianthus grosseserratus",2672
"22","Helianthus heterophyllus",698
"23","Helianthus hirsutus",7489
"24","Helianthus laciniatus",383
"25","Helianthus laevigatus",350
"26","Helianthus longifolius",83
"27","Helianthus maximiliani",4769
"28","Helianthus microcephalus",1951
"29","Helianthus mollis",2045
"30","Helianthus neglectus",241
"31","Helianthus niveus",738
"32","Helianthus nuttallii",2252
"33","Helianthus occidentalis",1465
"34","Helianthus paradoxus",201
"35","Helianthus pauciflorus",3466
"36","Helianthus petiolaris",6171
"37","Helianthus porteri",214
"38","Helianthus praecox",208
"39","Helianthus pumilus",982
"40","Helianthus radula",863
"41","Helianthus resinosus",863
"42","Helianthus salicifolius",724
"43","Helianthus schweinitzii",375
"44","Helianthus silphioides",358
"45","Helianthus simulans",336
"46","Helianthus smithii",91
"47","Helianthus tuberosus",22546
"48","Helianthus winterii",21
